行	型	該当	本文
c412-2	同形異音語（一般）	人	中に入ってから、まだ2分半である。火も煙も人も、見ていない。
c412-2	数詞＋助数詞	2分	中に入ってから、まだ2分半である。火も煙も人も、見ていない。
c413-1	文頭の数字	9	9時15分、副隊長は線量計を持って、もう一度ひとりで入った。
c413-1	数詞＋助数詞	9時	9時15分、副隊長は線量計を持って、もう一度ひとりで入った。
c413-1	数詞＋助数詞	15分	9時15分、副隊長は線量計を持って、もう一度ひとりで入った。
c413-2	同形異音語（一般）	上	炉の運転階へ上がる階段の、手前までである。
c414-2	同形異音語（一般）	人	上着が3人ぶん、残っていた
c414-2	数詞＋助数詞	3人	上着が3人ぶん、残っていた
c414-2	§6の語（SL-1）	上着	上着が3人ぶん、残っていた
c415-2	§6の語（SL-1）	面体	その先は暗い。呼吸器の面体、つまり顔を覆う窓が曇って、よく見えなかった。
c415-2	§6の語（SL-1）	覆う	その先は暗い。呼吸器の面体、つまり顔を覆う窓が曇って、よく見えなかった。
c416-1	数詞＋助数詞	250ミリ	階段の入口で、毎時200から250ミリレントゲン。
c416-1	§6の語（SL-1）	レントゲン	階段の入口で、毎時200から250ミリレントゲン。
c417-1	EL_YOMI 既存	値が→あたいが×1	門衛所のそばに止めた車のところでも、値が出た。
c418-1	文頭の数字	9	9時17分までに、ここにいた全員が構外の道路まで下がった。
c418-1	同形異音語（一般）	下	9時17分までに、ここにいた全員が構外の道路まで下がった。
c418-1	数詞＋助数詞	9時	9時17分までに、ここにいた全員が構外の道路まで下がった。
c418-1	数詞＋助数詞	17分	9時17分までに、ここにいた全員が構外の道路まで下がった。
c418-2	数詞＋助数詞	16分	警報から、16分が経っている。
c419-1	数詞＋助数詞	9時	同じ9時17分、放射線の技術者が着いた。門衛所の前で、
c419-1	数詞＋助数詞	17分	同じ9時17分、放射線の技術者が着いた。門衛所の前で、
c419-2	数詞＋助数詞	150ミリ	毎時125から150ミリレントゲン。風は北北東から6マイル。
c419-2	§6の語（SL-1）	レントゲン	毎時125から150ミリレントゲン。風は北北東から6マイル。
c420-1	同形異音語（一般）	上	彼はまず消防隊を風上へ回らせ、それから中へ入った。
c420-2	同形異音語（一般）	物	建物の角で700、入口で250、廊下の扉で500ミリレントゲン。
c420-2	同形異音語（一般）	角	建物の角で700、入口で250、廊下の扉で500ミリレントゲン。
c420-2	同形異音語（一般）	下	建物の角で700、入口で250、廊下の扉で500ミリレントゲン。
c420-2	数詞＋助数詞	500ミリ	建物の角で700、入口で250、廊下の扉で500ミリレントゲン。
c420-2	§6の語（SL-1）	レントゲン	建物の角で700、入口で250、廊下の扉で500ミリレントゲン。
c421-1	文頭の数字	2	2人は、通る部屋をほとんど全部のぞいた。
c421-1	同形異音語（一般）	人	2人は、通る部屋をほとんど全部のぞいた。
c421-1	数詞＋助数詞	2人	2人は、通る部屋をほとんど全部のぞいた。
c421-2	同形異音語（一般）	物	建物の中にいるはずの3人を探していた。誰もいない。
c421-2	同形異音語（一般）	人	建物の中にいるはずの3人を探していた。誰もいない。
c421-2	数詞＋助数詞	3人	建物の中にいるはずの3人を探していた。誰もいない。
c422-1	同形異音語（一般）	上	運転階へ上がる階段の、3段目か4段目まで来たところで、
c422-1	同形異音語（一般）	目	運転階へ上がる階段の、3段目か4段目まで来たところで、
c422-1	同形異音語（一般）	目	運転階へ上がる階段の、3段目か4段目まで来たところで、
c422-1	数詞＋助数詞	3段	運転階へ上がる階段の、3段目か4段目まで来たところで、
c422-1	数詞＋助数詞	4段	運転階へ上がる階段の、3段目か4段目まで来たところで、
c422-2	同形異音語（一般）	人	計器が振り切れた。毎時25レントゲン、それまでの100倍だ。2人は引き返した。
c422-2	数詞＋助数詞	100倍	計器が振り切れた。毎時25レントゲン、それまでの100倍だ。2人は引き返した。
c422-2	数詞＋助数詞	2人	計器が振り切れた。毎時25レントゲン、それまでの100倍だ。2人は引き返した。
c422-2	§6の語（SL-1）	レントゲン	計器が振り切れた。毎時25レントゲン、それまでの100倍だ。2人は引き返した。
c423-1	文頭の数字	9	9時25分。ほかの施設に無線で確かめ、3人はどこへも移っていない。
c423-1	同形異音語（一般）	人	9時25分。ほかの施設に無線で確かめ、3人はどこへも移っていない。
c423-1	数詞＋助数詞	9時	9時25分。ほかの施設に無線で確かめ、3人はどこへも移っていない。
c423-1	数詞＋助数詞	25分	9時25分。ほかの施設に無線で確かめ、3人はどこへも移っていない。
c423-1	数詞＋助数詞	3人	9時25分。ほかの施設に無線で確かめ、3人はどこへも移っていない。
c423-2	同形異音語（一般）	物	つまり、建物の中にいる。
c501-1	文頭の数字	9	9時50分、3度目の立ち入り。階段の最初の踊り場で、
c501-1	同形異音語（一般）	目	9時50分、3度目の立ち入り。階段の最初の踊り場で、
c501-1	数詞＋助数詞	9時	9時50分、3度目の立ち入り。階段の最初の踊り場で、
c501-1	数詞＋助数詞	50分	9時50分、3度目の立ち入り。階段の最初の踊り場で、
c501-1	§6の語（SL-1）	踊り場	9時50分、3度目の立ち入り。階段の最初の踊り場で、
c501-2	§6の語（SL-1）	レントゲン	毎時200レントゲン。技術者はその場で全員を退がらせた。
c502-1	文頭の数字	1	10時ちょうど、無線で許可が出る。
c502-1	数詞＋助数詞	10時	10時ちょうど、無線で許可が出る。
c502-2	§6の語（SL-1）	レントゲン	毎時200レントゲンを超える場所にも入ってよい。ただし空気呼吸器をつけること。
c503-2	§6の語（SL-1）	レントゲン	毎時500レントゲンで止める。計器が、そこまでしか読めないからだ。
c504-1	文頭の数字	1	10時10分。3人が階段を上がりきると、運転階の扉は開いていた。
c504-1	同形異音語（一般）	人	10時10分。3人が階段を上がりきると、運転階の扉は開いていた。
c504-1	同形異音語（一般）	上	10時10分。3人が階段を上がりきると、運転階の扉は開いていた。
c504-1	数詞＋助数詞	10時	10時10分。3人が階段を上がりきると、運転階の扉は開いていた。
c504-1	数詞＋助数詞	10分	10時10分。3人が階段を上がりきると、運転階の扉は開いていた。
c504-1	数詞＋助数詞	3人	10時10分。3人が階段を上がりきると、運転階の扉は開いていた。
c505-2	同形異音語（一般）	人	見えたのは瓦礫だけである。人の姿は見えなかった。
c506-1	文頭の数字	1	10時25分、クラス1災害が宣言された。
c506-1	数詞＋助数詞	10時	10時25分、クラス1災害が宣言された。
c506-1	数詞＋助数詞	25分	10時25分、クラス1災害が宣言された。
c507-1	文頭の数字	1	10時35分、現場の指揮が、最初に着いた技術者から
c507-1	数詞＋助数詞	10時	10時35分、現場の指揮が、最初に着いた技術者から
c507-1	数詞＋助数詞	35分	10時35分、現場の指揮が、最初に着いた技術者から
c507-2	§6の語（SL-1）	支所	アイダホ支所へ移った。管理点が置かれ、測定が組み直される。
c508-1	文頭の数字	1	10時45分、運転を請け負っていた会社の2人が階段を上がった。
c508-1	同形異音語（一般）	人	10時45分、運転を請け負っていた会社の2人が階段を上がった。
c508-1	同形異音語（一般）	上	10時45分、運転を請け負っていた会社の2人が階段を上がった。
c508-1	数詞＋助数詞	10時	10時45分、運転を請け負っていた会社の2人が階段を上がった。
c508-1	数詞＋助数詞	45分	10時45分、運転を請け負っていた会社の2人が階段を上がった。
c508-1	数詞＋助数詞	2人	10時45分、運転を請け負っていた会社の2人が階段を上がった。
c508-2	同形異音語（実績）	方	最初の踊り場のあたりで、片方が、音を聞いている。
c508-2	§6の語（SL-1）	踊り場	最初の踊り場のあたりで、片方が、音を聞いている。
c509-1	同形異音語（一般）	人	運転階に2、3フィート入ったところで、2人が見えた。
c509-1	数詞＋助数詞	3フィート	運転階に2、3フィート入ったところで、2人が見えた。
c509-1	数詞＋助数詞	2人	運転階に2、3フィート入ったところで、2人が見えた。
c509-2	文頭の数字	1	1人は配電盤のそば。もう1人は、遮蔽ブロックと炉の頭のあいだにいた。
c509-2	同形異音語（一般）	人	1人は配電盤のそば。もう1人は、遮蔽ブロックと炉の頭のあいだにいた。
c509-2	同形異音語（一般）	人	1人は配電盤のそば。もう1人は、遮蔽ブロックと炉の頭のあいだにいた。
c509-2	数詞＋助数詞	1人	1人は配電盤のそば。もう1人は、遮蔽ブロックと炉の頭のあいだにいた。
c509-2	数詞＋助数詞	1人	1人は配電盤のそば。もう1人は、遮蔽ブロックと炉の頭のあいだにいた。
c509-2	§6の語（SL-1）	遮蔽	1人は配電盤のそば。もう1人は、遮蔽ブロックと炉の頭のあいだにいた。
c511-1	§6の語（SL-1）	レントゲン	そこは、配電盤のそばで毎時500から600レントゲン。
c511-2	同形異音語（一般）	上	炉の真上は、毎時1000レントゲンを超えると見積もられている。
c511-2	§6の語（SL-1）	レントゲン	炉の真上は、毎時1000レントゲンを超えると見積もられている。
c512-1	文頭の数字	2	2人はすぐ引き返した。救助の人手と道具を呼ぶためである。
c512-1	同形異音語（一般）	人	2人はすぐ引き返した。救助の人手と道具を呼ぶためである。
c512-1	数詞＋助数詞	2人	2人はすぐ引き返した。救助の人手と道具を呼ぶためである。
c512-2	数詞＋助数詞	3分	見つけて出てくるまで、およそ3分だった。
c513-1	文頭の数字	1	10時50分、5人が担架を2つ持って運転階に入った。
c513-1	同形異音語（一般）	人	10時50分、5人が担架を2つ持って運転階に入った。
c513-1	数詞＋助数詞	10時	10時50分、5人が担架を2つ持って運転階に入った。
c513-1	数詞＋助数詞	50分	10時50分、5人が担架を2つ持って運転階に入った。
c513-1	数詞＋助数詞	5人	10時50分、5人が担架を2つ持って運転階に入った。
c513-1	数詞＋助数詞	2つ	10時50分、5人が担架を2つ持って運転階に入った。
c513-1	§6の語（SL-1）	担架	10時50分、5人が担架を2つ持って運転階に入った。
c513-2	同形異音語（一般）	人	最初に見つかった1人を運び出すためである。
c513-2	数詞＋助数詞	1人	最初に見つかった1人を運び出すためである。
c514-1	同形異音語（一般）	人	担架を入口の近くに置き、2人がそこまで運んで載せた。
c514-1	数詞＋助数詞	2人	担架を入口の近くに置き、2人がそこまで運んで載せた。
c514-1	§6の語（SL-1）	担架	担架を入口の近くに置き、2人がそこまで運んで載せた。
c514-2	同形異音語（一般）	人	この作業のあいだに、もう1人が亡くなっていることが分かっている。
c514-2	数詞＋助数詞	1人	この作業のあいだに、もう1人が亡くなっていることが分かっている。
c515-1	同形異音語（一般）	人	ここで1人の空気呼吸器が詰まった。非常口から出ようとしたが、
c515-1	数詞＋助数詞	1人	ここで1人の空気呼吸器が詰まった。非常口から出ようとしたが、
c515-2	§6の語（SL-1）	担架	発電機のところで担架が通らない。入った道を戻っている。
c516-1	数詞＋助数詞	8分	救助にかかったのは、およそ8分。運転階に3分、構内に5分。
c516-1	数詞＋助数詞	3分	救助にかかったのは、およそ8分。運転階に3分、構内に5分。
c516-1	数詞＋助数詞	5分	救助にかかったのは、およそ8分。運転階に3分、構内に5分。
c516-2	文頭の数字	1	1分でも短くする、という作業だった。
c516-2	数詞＋助数詞	1分	1分でも短くする、という作業だった。
c517-1	文頭の数字	1	11時ちょうど、担架は連絡車に載せられ、
c517-1	数詞＋助数詞	11時	11時ちょうど、担架は連絡車に載せられ、
c517-1	§6の語（SL-1）	担架	11時ちょうど、担架は連絡車に載せられ、
c517-2	数詞＋助数詞	4分	門から4分の1マイル離れた道路で、救急車と落ち合った。
c518-1	文頭の数字	1	11時5分、管理点で看護師が診た。報告書はこう書く。
c518-1	数詞＋助数詞	11時	11時5分、管理点で看護師が診た。報告書はこう書く。
c518-1	数詞＋助数詞	5分	11時5分、管理点で看護師が診た。報告書はこう書く。
c518-1	§6の語（SL-1）	診た	11時5分、管理点で看護師が診た。報告書はこう書く。
c518-2	同形異音語（一般）	目	目の前で息が絶えたように見えたが、蘇生器が当てられた、と。
c518-2	§6の語（SL-1）	蘇生	目の前で息が絶えたように見えたが、蘇生器が当てられた、と。
c519-1	文頭の数字	1	11時14分。医師が診て、亡くなったことが確認された。
c519-1	数詞＋助数詞	11時	11時14分。医師が診て、亡くなったことが確認された。
c519-1	数詞＋助数詞	14分	11時14分。医師が診て、亡くなったことが確認された。
c519-2	同形異音語（実績）	間	警報から、2時間13分が経っている。
c519-2	数詞＋助数詞	2時	警報から、2時間13分が経っている。
c519-2	数詞＋助数詞	13分	警報から、2時間13分が経っている。
c520-1	同形異音語（一般）	人	ほぼ同じころ、支所と軍と会社から4人が組を作り、
c520-1	数詞＋助数詞	4人	ほぼ同じころ、支所と軍と会社から4人が組を作り、
c520-1	§6の語（SL-1）	支所	ほぼ同じころ、支所と軍と会社から4人が組を作り、
c520-2	同形異音語（一般）	目	運転階に入っている。3人目を探すためである。
c520-2	数詞＋助数詞	3人	運転階に入っている。3人目を探すためである。
c521-1	文頭の数字	3	3人目は見つかった。報告書の90ページは、その状態を1行で書いている。
c521-1	同形異音語（一般）	目	3人目は見つかった。報告書の90ページは、その状態を1行で書いている。
c521-1	数詞＋助数詞	3人	3人目は見つかった。報告書の90ページは、その状態を1行で書いている。
c521-2	文頭の数字	3	3人目は、天井にあった
c521-2	同形異音語（一般）	目	3人目は、天井にあった
c521-2	数詞＋助数詞	3人	3人目は、天井にあった
c522-1	鉤括弧	「	原文の語は「天井に突き刺さっていた」である。
c522-1	鉤括弧	」	原文の語は「天井に突き刺さっていた」である。
c522-2	同形異音語（実績）	方	報告書の書き方に合わせて、そのまま読む。ここでは絵にしない。
c523-1	同形異音語（一般）	日	確認は2分で終わった。その日はそこまでである。
c523-1	数詞＋助数詞	2分	確認は2分で終わった。その日はそこまでである。
c523-2	文頭の数字	3	3人目を降ろす方法は、まだ誰も持っていなかった。
c523-2	同形異音語（一般）	目	3人目を降ろす方法は、まだ誰も持っていなかった。
c523-2	数詞＋助数詞	3人	3人目を降ろす方法は、まだ誰も持っていなかった。
c601-1	文頭の数字	1	1月4日の午前5時半。5人の組が、1人目の衣類を外す作業に入った。
c601-1	同形異音語（一般）	日	1月4日の午前5時半。5人の組が、1人目の衣類を外す作業に入った。
c601-1	同形異音語（一般）	人	1月4日の午前5時半。5人の組が、1人目の衣類を外す作業に入った。
c601-1	同形異音語（一般）	目	1月4日の午前5時半。5人の組が、1人目の衣類を外す作業に入った。
c601-1	数詞＋助数詞	1月	1月4日の午前5時半。5人の組が、1人目の衣類を外す作業に入った。
c601-1	数詞＋助数詞	4日	1月4日の午前5時半。5人の組が、1人目の衣類を外す作業に入った。
c601-1	数詞＋助数詞	5時	1月4日の午前5時半。5人の組が、1人目の衣類を外す作業に入った。
c601-1	数詞＋助数詞	5人	1月4日の午前5時半。5人の組が、1人目の衣類を外す作業に入った。
c601-1	数詞＋助数詞	1人	1月4日の午前5時半。5人の組が、1人目の衣類を外す作業に入った。
c601-2	数詞＋助数詞	1分	記録係と時間係を置き、1分で交代する。
c602-1	同形異音語（一般）	上	体の上で毎時100から200レントゲン。腕のあたりで300。
c602-1	§6の語（SL-1）	レントゲン	体の上で毎時100から200レントゲン。腕のあたりで300。
c602-2	同形異音語（一般）	目	衣類を外しても、値は目に見えて下がらなかった。
c602-2	同形異音語（一般）	下	衣類を外しても、値は目に見えて下がらなかった。
c602-2	EL_YOMI 既存	値は→あたいは×1	衣類を外しても、値は目に見えて下がらなかった。
c603-1	数詞＋助数詞	9時	午前9時半から11時半まで、洗剤を使って洗った。
c603-1	数詞＋助数詞	11時	午前9時半から11時半まで、洗剤を使って洗った。
c604-1	文頭の数字	3	3人目を担架に降ろせたのは、1月9日の午前0時45分。
c604-1	同形異音語（一般）	目	3人目を担架に降ろせたのは、1月9日の午前0時45分。
c604-1	同形異音語（一般）	日	3人目を担架に降ろせたのは、1月9日の午前0時45分。
c604-1	数詞＋助数詞	3人	3人目を担架に降ろせたのは、1月9日の午前0時45分。
c604-1	数詞＋助数詞	1月	3人目を担架に降ろせたのは、1月9日の午前0時45分。
c604-1	数詞＋助数詞	9日	3人目を担架に降ろせたのは、1月9日の午前0時45分。
c604-1	数詞＋助数詞	0時	3人目を担架に降ろせたのは、1月9日の午前0時45分。
c604-1	数詞＋助数詞	45分	3人目を担架に降ろせたのは、1月9日の午前0時45分。
c604-1	§6の語（SL-1）	担架	3人目を担架に降ろせたのは、1月9日の午前0時45分。
c604-2	同形異音語（一般）	日	回収が終わったと宣言されたのは、同じ日の午前4時42分である。
c604-2	数詞＋助数詞	4時	回収が終わったと宣言されたのは、同じ日の午前4時42分である。
c604-2	数詞＋助数詞	42分	回収が終わったと宣言されたのは、同じ日の午前4時42分である。
c605-1	文頭の数字	1	1月10日、4インチの鉛を張った容器に納められた。
c605-1	同形異音語（一般）	日	1月10日、4インチの鉛を張った容器に納められた。
c605-1	数詞＋助数詞	1月	1月10日、4インチの鉛を張った容器に納められた。
c605-1	数詞＋助数詞	10日	1月10日、4インチの鉛を張った容器に納められた。
c605-1	数詞＋助数詞	4インチ	1月10日、4インチの鉛を張った容器に納められた。
c605-2	§6の語（SL-1）	レントゲン	接して測ると、頭で毎時30レントゲン、胸で50。
c606-1	文頭の数字	1	1月13日の朝、8人の組が3人を埋葬のために整えた。
c606-1	同形異音語（一般）	日	1月13日の朝、8人の組が3人を埋葬のために整えた。
c606-1	同形異音語（一般）	人	1月13日の朝、8人の組が3人を埋葬のために整えた。
c606-1	同形異音語（一般）	人	1月13日の朝、8人の組が3人を埋葬のために整えた。
c606-1	数詞＋助数詞	1月	1月13日の朝、8人の組が3人を埋葬のために整えた。
c606-1	数詞＋助数詞	13日	1月13日の朝、8人の組が3人を埋葬のために整えた。
c606-1	数詞＋助数詞	8人	1月13日の朝、8人の組が3人を埋葬のために整えた。
c606-1	数詞＋助数詞	3人	1月13日の朝、8人の組が3人を埋葬のために整えた。
c607-2	文頭の数字	3	3人目だけは、8分の1インチでなく4分の3インチの厚い板だった。
c607-2	同形異音語（一般）	目	3人目だけは、8分の1インチでなく4分の3インチの厚い板だった。
c607-2	数詞＋助数詞	3人	3人目だけは、8分の1インチでなく4分の3インチの厚い板だった。
c607-2	数詞＋助数詞	8分	3人目だけは、8分の1インチでなく4分の3インチの厚い板だった。
c607-2	数詞＋助数詞	1インチ	3人目だけは、8分の1インチでなく4分の3インチの厚い板だった。
c607-2	数詞＋助数詞	4分	3人目だけは、8分の1インチでなく4分の3インチの厚い板だった。
c607-2	数詞＋助数詞	3インチ	3人目だけは、8分の1インチでなく4分の3インチの厚い板だった。
c608-1	数詞＋助数詞	2枚	棺の中には、札が2枚入れられた。
c608-1	§6の語（SL-1）	棺	棺の中には、札が2枚入れられた。
c608-1	§6の語（SL-1）	札	棺の中には、札が2枚入れられた。
c608-2	鉤括弧	「	「注意、高線量区域」。そして「注意、放射性物質」。
c608-2	鉤括弧	」	「注意、高線量区域」。そして「注意、放射性物質」。
c608-2	鉤括弧	「	「注意、高線量区域」。そして「注意、放射性物質」。
c608-2	鉤括弧	」	「注意、高線量区域」。そして「注意、放射性物質」。
c609-1	文頭の数字	1	1月22日。2人は空軍機でニューヨークとワシントンへ、
c609-1	同形異音語（一般）	日	1月22日。2人は空軍機でニューヨークとワシントンへ、
c609-1	同形異音語（一般）	人	1月22日。2人は空軍機でニューヨークとワシントンへ、
c609-1	数詞＋助数詞	1月	1月22日。2人は空軍機でニューヨークとワシントンへ、
c609-1	数詞＋助数詞	22日	1月22日。2人は空軍機でニューヨークとワシントンへ、
c609-1	数詞＋助数詞	2人	1月22日。2人は空軍機でニューヨークとワシントンへ、
c609-2	文頭の数字	1	1人は海軍機でミシガンへ運ばれた。
c609-2	同形異音語（一般）	人	1人は海軍機でミシガンへ運ばれた。
c609-2	数詞＋助数詞	1人	1人は海軍機でミシガンへ運ばれた。
c610-1	§6の語（SL-1）	棺	ミシガンの墓地では、棺を輸送箱から出して並べてほしい、と求められた。
c610-2	鉤括弧	「	報告書は「軍の形式で並べられた」と書く。
c610-2	鉤括弧	」	報告書は「軍の形式で並べられた」と書く。
c611-1	文頭の数字	3	3つの墓には、いずれもコンクリートが打たれた。
c611-1	数詞＋助数詞	3つ	3つの墓には、いずれもコンクリートが打たれた。
c611-2	同形異音語（一般）	下	下に18インチ、横に2フィート、上に20インチ。ひとつは深さ10フィートだ。
c611-2	同形異音語（一般）	上	下に18インチ、横に2フィート、上に20インチ。ひとつは深さ10フィートだ。
c611-2	数詞＋助数詞	18インチ	下に18インチ、横に2フィート、上に20インチ。ひとつは深さ10フィートだ。
c611-2	数詞＋助数詞	2フィート	下に18インチ、横に2フィート、上に20インチ。ひとつは深さ10フィートだ。
c611-2	数詞＋助数詞	20インチ	下に18インチ、横に2フィート、上に20インチ。ひとつは深さ10フィートだ。
c611-2	数詞＋助数詞	10フィート	下に18インチ、横に2フィート、上に20インチ。ひとつは深さ10フィートだ。
c701-1	同形異音語（実績）	方	炉の中の写真は撮れた。壊れ方も読めた。
c702-1	1モーラ語＋助詞	手が	書かれていないのは、手が回らなかったからではない。
c704-1	数詞＋助数詞	1961年	その調査委員会の報告は、1961年6月に出ている。43ページ。
c704-1	数詞＋助数詞	6月	その調査委員会の報告は、1961年6月に出ている。43ページ。
c704-2	同形異音語（一般）	人	委員長ほか5人の名前が、表紙に並んでいる。
c704-2	数詞＋助数詞	5人	委員長ほか5人の名前が、表紙に並んでいる。
c705-1	数詞＋助数詞	1枚	この報告書には、1枚だけ変わった紙がある。
c705-2	文頭の数字	1	101ページ。刷られているのは、2行だけである。
c706-2	同形異音語（実績）	話	前は墓地の話、次の102ページは棺と墓の測定表になっている。
c706-2	同形異音語（一般）	表	前は墓地の話、次の102ページは棺と墓の測定表になっている。
c706-2	§6の語（SL-1）	棺	前は墓地の話、次の102ページは棺と墓の測定表になっている。
c708-2	文頭の数字	1	1962年7月27日。回収作業の最終報告書が出ている。
c708-2	同形異音語（一般）	日	1962年7月27日。回収作業の最終報告書が出ている。
c708-2	数詞＋助数詞	1962年	1962年7月27日。回収作業の最終報告書が出ている。
c708-2	数詞＋助数詞	7月	1962年7月27日。回収作業の最終報告書が出ている。
c708-2	数詞＋助数詞	27日	1962年7月27日。回収作業の最終報告書が出ている。
c709-1	EL_YOMI 既存	19311→いちきゅうさんいちいち×1	番号は、アイ・ディー・オー、19311。320ページある。
c709-2	数詞＋助数詞	11月	書いたのは、炉を解体した会社。11月には追試の報告も出た。
c710-1	同形異音語（一般）	日	圧力容器が建屋から出されたのは、1961年11月29日。
c710-1	数詞＋助数詞	1961年	圧力容器が建屋から出されたのは、1961年11月29日。
c710-1	数詞＋助数詞	11月	圧力容器が建屋から出されたのは、1961年11月29日。
c710-1	数詞＋助数詞	29日	圧力容器が建屋から出されたのは、1961年11月29日。
c710-2	同形異音語（一般）	日	翌30日、試験場の北にある工場へ運ばれた。そこで分解される。
c710-2	数詞＋助数詞	30日	翌30日、試験場の北にある工場へ運ばれた。そこで分解される。
c711-1	§6の語（SL-1）	制御棒	分解して分かったことがある。中央の制御棒が、
c711-2	§6の語（SL-1）	覆い	自分を囲う覆いに食い込んだまま、動かなくなっていた。
c712-1	同形異音語（一般）	目	食い込んでいた位置は、報告書の要旨の2行目に書いてある。
c712-2	文頭の数字	2	20インチ、引き抜かれていた
c712-2	数詞＋助数詞	20インチ	20インチ、引き抜かれていた
c713-1	数詞＋助数詞	50センチ	およそ50センチである。そしてこの炉は、
c713-2	数詞＋助数詞	1本	中央の1本だけを引き抜いて動かすことは、ふつうしない。
c714-2	小数	16.7	中央の棒を16.7インチ引き抜いたところで、この炉は臨界になる。
c714-2	数詞＋助数詞	7インチ	中央の棒を16.7インチ引き抜いたところで、この炉は臨界になる。
c714-2	§6の語（SL-1）	臨界	中央の棒を16.7インチ引き抜いたところで、この炉は臨界になる。
c715-1	文頭の数字	2	20インチは、臨界を3.3インチ通り越した位置である。
c715-1	小数	3.3	20インチは、臨界を3.3インチ通り越した位置である。
c715-1	数詞＋助数詞	20インチ	20インチは、臨界を3.3インチ通り越した位置である。
c715-1	数詞＋助数詞	3インチ	20インチは、臨界を3.3インチ通り越した位置である。
c715-1	§6の語（SL-1）	臨界	20インチは、臨界を3.3インチ通り越した位置である。
c715-2	小数	2.4	反応を押し上げる余力、反応度で言えば、余分が2.4パーセント。
c715-2	同形異音語（一般）	上	反応を押し上げる余力、反応度で言えば、余分が2.4パーセント。
c715-2	数詞＋助数詞	4パーセント	反応を押し上げる余力、反応度で言えば、余分が2.4パーセント。
c715-2	§6の語（SL-1）	反応度	反応を押し上げる余力、反応度で言えば、余分が2.4パーセント。
c716-2	1モーラ語＋助詞	手に	報告書は、手による引き抜き以外の説明を探している。
c717-1	同形異音語（一般）	上	化学の爆薬が棒を持ち上げた、という説明。
c719-1	同形異音語（一般）	人	そして模型を作り、人が手で引く速さを測っている。
c719-2	文頭の数字	2	20インチまで引くのに要る時間は、暴走を起こすのに要る時間より短かった。
c719-2	同形異音語（実績）	間	20インチまで引くのに要る時間は、暴走を起こすのに要る時間より短かった。
c719-2	同形異音語（実績）	間	20インチまで引くのに要る時間は、暴走を起こすのに要る時間より短かった。
c719-2	数詞＋助数詞	20インチ	20インチまで引くのに要る時間は、暴走を起こすのに要る時間より短かった。
c721-2	1モーラ語＋助詞	手で	手で引き抜いたことによって暴走が起きた、と示している。
c722-2	鉤括弧	「	「最大の力ではない引き抜き」で、と。
c722-2	鉤括弧	」	「最大の力ではない引き抜き」で、と。
c725-1	EL_YOMI 既存	要旨には→ようし には×1	要旨には、こうある。
c727-1	数詞＋助数詞	2つ	残っているのは、2つの数字だけである。
c727-2	文頭の数字	2	20インチという位置と、2秒から4秒という時間。
c727-2	同形異音語（実績）	間	20インチという位置と、2秒から4秒という時間。
c727-2	数詞＋助数詞	20インチ	20インチという位置と、2秒から4秒という時間。
c727-2	数詞＋助数詞	2秒	20インチという位置と、2秒から4秒という時間。
c727-2	数詞＋助数詞	4秒	20インチという位置と、2秒から4秒という時間。
c728-2	数詞＋助数詞	2秒	その全部が、2秒から4秒のあいだに終わっている。
c728-2	数詞＋助数詞	4秒	その全部が、2秒から4秒のあいだに終わっている。
c801-1	文頭の数字	1	1961年5月。水を入れなければ、この炉でもう核反応は起きない。
c801-1	数詞＋助数詞	1961年	1961年5月。水を入れなければ、この炉でもう核反応は起きない。
c801-1	数詞＋助数詞	5月	1961年5月。水を入れなければ、この炉でもう核反応は起きない。
c802-1	数詞＋助数詞	4つ	呼び名はフェーズ3。やることは4つに分かれていた。
c802-2	EL_YOMI 既存	建屋を→たてやを×1	運ぶ。分解する。建屋を切って埋める。残りを除染する。
c803-2	同形異音語（実績）	間	期間は1961年5月から、1962年7月まで。
c803-2	数詞＋助数詞	1961年	期間は1961年5月から、1962年7月まで。
c803-2	数詞＋助数詞	5月	期間は1961年5月から、1962年7月まで。
c803-2	数詞＋助数詞	1962年	期間は1961年5月から、1962年7月まで。
c803-2	数詞＋助数詞	7月	期間は1961年5月から、1962年7月まで。
c804-1	数詞＋助数詞	4か月	事故から4か月後に始まり、1年2か月かかっている。
c804-1	数詞＋助数詞	1年	事故から4か月後に始まり、1年2か月かかっている。
c804-1	数詞＋助数詞	2か月	事故から4か月後に始まり、1年2か月かかっている。
c804-2	数詞＋助数詞	2秒	事故そのものは、2秒から4秒だった。
c804-2	数詞＋助数詞	4秒	事故そのものは、2秒から4秒だった。
c805-1	文頭の数字	1	1961年11月29日、圧力容器が建屋から出された。
c805-1	同形異音語（一般）	日	1961年11月29日、圧力容器が建屋から出された。
c805-1	数詞＋助数詞	1961年	1961年11月29日、圧力容器が建屋から出された。
c805-1	数詞＋助数詞	11月	1961年11月29日、圧力容器が建屋から出された。
c805-1	数詞＋助数詞	29日	1961年11月29日、圧力容器が建屋から出された。
c805-3	文頭の数字	9	9フィート、飛び上がった
c805-3	同形異音語（一般）	上	9フィート、飛び上がった
c805-3	数詞＋助数詞	9フィート	9フィート、飛び上がった
c806-1	同形異音語（一般）	日	翌11月30日、試験場の北の端にある工場へ運ばれた。
c806-1	数詞＋助数詞	11月	翌11月30日、試験場の北の端にある工場へ運ばれた。
