行	判定	食い違い	台本の読み	聞取の読み	台本	聞取
c221-2	読み一致		ナゼヒダリダケナノカセツメエハデキテエナカッタ	ナゼヒダリダケナノカセツメエハデキテエナカッタ	なぜ左だけなのか、説明はできていなかった。	なぜ左だけなのか説明はできていなかった。
c222-1	読み一致		カゲツマエノヒコオデモオナジバショノダンネツザイガハズレテエタ	カゲツマエノヒコオデモオナジバショノダンネツザイガハズレテエタ	3か月前の飛行でも、同じ場所の断熱材が外れていた。	三ヶ月前の飛行でも同じ場所の断熱材が外れていた。
c222-2	読み一致		ハソレヲヒコオチュウノイジョオトシテアツカワナカッタ	ハソレヲヒコオチュウノイジョオトシテアツカワナカッタ	NASAはそれを「飛行中の異常」として扱わなかった。	NASAはそれを飛行中の異常として扱わなかった。
c222-3	読み一致		ゲンインガワカルマエニツギノビンヲトバストキメテエル	ゲンインガワカルマエニツギノビンヲトバストキメテエル	原因が分かる前に、次の2便を飛ばすと決めている。	原因がわかる前に次の2便を飛ばすと決めている。
c301-1	読み一致		ココマデガウチアゲノヒニオキタコトデアル	ココマデガウチアゲノヒニオキタコトデアル	ここまでが、打ち上げの日に起きたことである。	ここまでが打ち上げの日に起きたことである。
c301-2	読み一致		コノビョオニダレモキヅイテエナイキヅイタノハヨクジツダッタ	コノビョオニダレモキヅイテエナイキヅイタノハヨクジツダッタ	この0.2秒に、誰も気づいていない。気づいたのは翌日だった。	この0.2秒に誰も気づいていない。気づいたのは翌日だった。
c302-1	読み一致		ツキニチノゴゼンジフンマアシャルウチュウヒコオセンタアノギジュツシャガ	ツキニチノゴゼンジフンマアシャルウチュウヒコオセンタアノギジュツシャガ	1月17日の午前9時30分。マーシャル宇宙飛行センターの技術者が、	1月17日の午前9時30分、マーシャル宇宙飛行センターの技術者が
c302-2	読み一致		ゼンジツノエエゾオヲミナオシテエテハヘンガアタルノニキヅイタ	ゼンジツノエエゾオヲミナオシテエテハヘンガアタルノニキヅイタ	前日の映像を見直していて、破片が当たるのに気づいた。	前日の映像を見直していて、破片が当たるのに気づいた。
c303-1	読み一致		ジカンノオチニケネディウチュウセンタアデモタシカメラレタ	ジカンノオチニケネディウチュウセンタアデモタシカメラレタ	1時間のうちに、ケネディ宇宙センターでも確かめられた。	一時間のうちにケネディ宇宙センターでも確かめられた。
c303-2	読み一致		バンカケテゲンゾオシタカイゾオドノタカイフィルムノホオダッタ	バンカケテゲンゾオシタカイゾオドノタカイフィルムノホオダッタ	一晩かけて現像した、解像度の高いフィルムのほうだった。	一晩かけて現像した解像度の高いフィルムの方だった。
c304-1	読みが違う	ハ→ガ	イチバンヨクウツッテエタノハダイノカメラデアル	イチバンヨクウツッテエタノガダイノカメラデアル	いちばんよく写っていたのは、2台のカメラである。	一番よく映っていたのが二台のカメラである。
c304-2	読み一致		ダイハヤクキロマイルハナレタミリノフィルムカメラ	ダイハヤクキロマイルハナレタミリノフィルムカメラ	1台は約27キロ（17マイル）離れた、35ミリのフィルムカメラ。	一台は約二十七キロ、十七マイル離れた三十五ミリのフィルムカメラ。
c304-3	読み一致		モオダイハヤクキロマイルハナレタビデオカメラダッタ	モオダイハヤクキロマイルハナレタビデオカメラダッタ	もう1台は約42キロ（26マイル）離れた、ビデオカメラだった。	もう一台は約四十二キロ、二十六マイル離れたビデオカメラだった。
c305-1	読み一致		ダイノエエゾオニウツッタコマノジコクトハヘンノイチ	ジダイノエエゾオニウツッタコマノジコクトハヘンノイチ	2台の映像に写ったコマの時刻と、破片の位置。	次代の映像に映ったコマの時刻と破片の位置
c305-2	読み一致		ソコカラオオキサトハヤサトアタッタバショヲケエサンスル	ソコカラオオキサトハヤサトアタッタバショヲケエサンスル	そこから、大きさと速さと当たった場所を計算する。	そこから大きさと速さと当たった場所を計算する。
c306-1	読みが違う	ンダ→ム	ハカリナオシテモットモタシカラシイネマデシボリコンダ	ハカリナオシテモットモタシカラシイネマデシボリコム	測り直して、最も確からしい値まで絞り込んだ。	測り直して最も確からしい値まで絞り込む。
c306-2	読み一致		モットモユウリョクナノハナガサヤクセンチハバヤクセンチ	モットモユウリョクナノハナガサヤクセンチハバヤクセンチ	最も有力なのは、長さ約61センチ、幅約38センチ。	最も有力なのは長さ約六十一センチ、幅約三十八センチ。
c307-1	読みが違う	ガ→エ	コタエニハバガアルノハカメラノコマガオソクガガアライカラデアル	コタエニハバガアルノハカメラノコマガオソクエガアライカラデアル	答えに幅があるのは、カメラのコマが遅く、画が粗いからである。	答えに幅があるのはカメラのコマが遅く、絵が粗いからである。
c307-2	読みが違う	ハヘン→ウマ／センチ→—	ハヘンノイチガセンチズレルダケデハヤサノコタエハオオキクウゴク	ウマノイチガズレルダケデハヤサノコタエハオオキクウゴク	破片の位置が51センチずれるだけで、速さの答えは大きく動く。	馬 pen の位置が五十一 cm ずれるだけで速さの答えは大きく動く。
c307-3	読み一致		ジソクオヨソキロガキロニカワッテシマウ	ジソクオヨソキロガキロニカワッテシマウ	時速およそ740キロが、900キロに変わってしまう。	時速およそ七百四十キロが九百キロに変わってしまう。
c308-1	読み一致		カイセキニアタッタヒトタチハソレゾレベツノドオグデケエサンシタ	カイセキニアタッタヒトタチハソレゾレベツノドオグデケエサンシタ	解析にあたった人たちは、それぞれ別の道具で計算した。	解析に当たった人たちはそれぞれ別の道具で計算した。
c308-2	読み一致		オナジコタエニヨッテエクカドオカヲタシカメルタメデアル	オナジコタエニヨッテエクカドオカヲタシカメルタメデアル	同じ答えに寄っていくかどうかを、確かめるためである。	同じ答えに寄っていくかどうかを確かめるためである。
c309-1	読みが違う	ッ→—	ハヘンハビョオニヤクカイマワリナガラオチテエッタ	ハヘンハビョオニヤクカイマワリナガラオチテエタ	破片は、1秒に約18回まわりながら落ちていった。	破片は一秒に約十八回回りながら落ちていた。
c309-2	読み一致		キタイトホボヘエコオニドダケウエヲムイテアタッテエル	キタイトホボヘエコオニドダケウエヲムイテアタッテエル	機体とほぼ平行に、5度だけ上を向いて当たっている。	機体とほぼ平行に五度だけ上を向いて当たっている。
c310-1	読み一致		ダンネツザイハハッポオスチロオルニチカイホドカルイ	ダンネツザイハハッポオスチロオルニチカイホドカルイ	断熱材は、発泡スチロールに近いほど軽い。	断熱材は発泡スチロールに近いほど軽い。
c310-2	読みが違う	キロ→—	カルイモノガジソクキロデアタル	カルイモノガジソクデアタル	軽い物が、時速880キロで当たる	軽いものが時速880kmで当たる。
c311-1	読み一致		マイメノパネルニアタッタトスレバカクドハドカラド	マイメノパネルニアタッタトスレバカクドハドカラド	8枚目のパネルに当たったとすれば、角度は10度から20度。	八枚目のパネルに当たったとすれば、角度は十度から二十度。
c311-2	読みが違う	フチ→エン	ツバサノマエノフチハマルイノデチョオテンニチカイホドツヨクアタル	ツバサノマエノエンハマルイノデチョオテンニチカイホドツヨクアタル	翼の前のふちは丸いので、頂点に近いほど強く当たる。	翼の前の縁は丸いので、頂点に近いほど強く当たる。
c311-3	読み一致		ネモトニアタルバアイノオヨソバイノチカラニナル	ネモトニアタルバアイノオヨソバイノチカラニナル	根もとに当たる場合の、およそ2倍の力になる。	根元に当たる場合のおよそ二倍の力になる。
c312-1	読みが違う	ア→ワ	アタッタハンイハタタミマイホドノヒロサマデシボレタ	ワタッタハンイハタタミマイホドノヒロサマデシボレタ	当たった範囲は、たたみ1枚ほどの広さまで絞れた。	渡った範囲は畳一枚ほどの広さまで絞れた。
c312-2	読み一致		モットモユウリョクナノハマイメノスグソバダッタ	モットモユウリョクナノハマイメノスグソバダッタ	最も有力なのは、8枚目のすぐそばだった。	最も有力なのは八枚目のすぐそばだった。
c313-1	読み一致		イッポオデワカラナイママノコトモアル	イッポオデワカラナイママノコトモアル	一方で、分からないままのこともある。	一方でわからないままのこともある。
c313-2	読み一致		ハヘンガドンナカタチデドノメンカラアタッタノカ	ハヘンガドンナカタチデドノメンカラアタッタノカ	破片がどんな形で、どの面から当たったのか。	破片がどんな形でどの面から当たったのか。
c314-1	読み一致		ベツノヤクショガイロヲツヨメテシラベタトコロ	ベツノヤクショガイロヲツヨメテシラベタトコロ	別の役所が色を強めて調べたところ、	別の役所が色を強めて調べたところ
c314-2	読み一致		ショオトツノチョクゴヒダリノツバサノオエニハヘンガアッタカノオセエガシメサレタ	ショオトツノチョクゴヒダリノツバサノオエニハヘンガアッタカノオセエガシメサレタ	衝突の直後、左の翼の上に破片があった可能性が示された。	衝突の直後、左の翼の上に破片があった可能性が示された。
c314-3	読み一致		タダシコチラモキメテニハナラナカッタ	タダシコチラモキメテニハナラナカッタ	ただし、こちらも決め手にはならなかった。	ただし、こちらも決め手にはならなかった。
c315-1	読み一致		カイセキノケッカハコノマイノコマニアツマッテエルジコノキテンヲシメスシャシンデアル	カイセキノケッカハコノマイノコマニアツマッテエルジコノキテンヲシメスシャシンデアル	解析の結果は、この1枚のコマに集まっている。事故の起点を示す写真である。	解析の結果は、この一枚のコマに集まっている事故の起点を示す写真である。
c316-1	読みが違う	モリ→—	ヒコオチュウニダシタハヤサノミツモリハジソクカラキロ	ヒコオチュウニダシタハヤサノミツハジソクカラキロ	飛行中に出した速さの見積りは、時速603から1,052キロ。	飛行中に出した速さの蜜は時速六百三から一千五十二キロ。
c316-2	読み一致		ジコゴニシボリコンダネハジソクカラキロ	ジコゴニシボリコンダネハジソクカラキロ	事故後に絞り込んだ値は、時速850から900キロ。	事故後に絞り込んだ値は時速八百五十から九百キロ。
c316-3	読みが違う	ツモ→ズ	タイセキノミツモリモホボオナジトコロニオチツイテエタ	タイセキノミズリモホボオナジトコロニオチツイテエタ	体積の見積りも、ほぼ同じところに落ち着いていた。	堆積の水理もほぼ同じところに落ち着いていた。
c317-1	読み一致		ハンダンニヒツヨオナザイリョオハヒコオチュウニスデニソロッテエタ	ハンダンニヒツヨオナザイリョオハヒコオチュウニスデニソロッテエタ	判断に必要な材料は、飛行中にすでにそろっていた。	判断に必要な材料は飛行中にすでに揃っていた。
c317-2	読み一致		イインカイハソオケツロンシテエル	イインカイハソオケツロンシテエル	委員会は、そう結論している。	委員会はそう結論している。
c318-1	読み一致		シャシンノハンハヨクジツヅケノホオコクヲカンケエサキヘクバッタ	シャシンノハンハヨクジツヅケノホオコクヲカンケエサキヘクバッタ	写真の班は、翌日づけの報告を関係先へ配った。	写真の班は翌日付の報告を関係先へ配った。
c318-2	読み一致		ソノヒノゴゴハンノチョオハウエノヤクショクシャヘチョクセツレンラクシテエル	ソノヒノゴゴハンノチョオハウエノヤクショクシャヘチョクセツレンラクシテエル	その日の午後、班の長は上の役職者へ直接連絡している。	その日の午後、藩の長は上の役職者へ直接連絡している。
c319-1	読み一致		コノトキグンニタカイカイゾオドノサツエエヲタノメナイカトイウモトメガデル	コノトキグンニタカイカイゾオドノサツエエヲタノメナイカトイウモトメガデル	このとき、軍に高い解像度の撮影を頼めないかという求めが出る。	この時、軍に高い解像度の撮影を頼めないかという求めが出る。
c319-2	読み一致		シャシンヲモトメルコエガサイショニアガッタシュンカンダッタ	シャシンヲモトメルコエガサイショニアガッタシュンカンダッタ	写真を求める声が、最初に上がった瞬間だった。	写真を求める声が最初に上がった瞬間だった。
c320-1	読み一致		ソノヒノユウガタシュウマツハヤスムトキマッタ	ソノヒノユウガタシュウマツハヤスムトキマッタ	その日の夕方、週末は休むと決まった。	その日の夕方、週末は休むと決まった。
c320-2	読み一致		オナジヒフィルムヲミニキタギジュツシャハオイカエサレテエル	オナジヒフィルムヲミニキタギジュツシャハオイカエサレテエル	同じ日、フィルムを見に来た技術者は追い返されている。	同じ日、フィルムを見に来た技術者は追い返されている。
c401-1	読みが違う	アト→ゴ	ココデエッタンキドオノオエヘメヲウツスチジョオノハナシハソノアトニモドル	ココデエッタンキドオノオエヘメヲウツスチジョオノハナシハソノゴニモドル	ここでいったん、軌道の上へ目を移す。地上の話は、そのあとに戻る。	ここで一旦軌道の上へ目を移す。地上の話はその後に戻る。
c401-2	読みが違う	アイダ→マ	ニチノアイダニンガソコデナニヲシテエタノカマズナマエヲアゲテオク	ニチノマニンガソコデナニヲシテエタノカマズナマエヲアゲテオク	16日のあいだ、7人がそこで何をしていたのか。まず名前を挙げておく。	16日の間、7人がそこで何をしていたのか、まず名前を挙げておく。
c402-1	読み一致		センチョオハリックハズバンドサイアメリカクウグンノタイサ	センチョオハリックハズバンドサイアメリカクウグンノタイサ	船長はリック・ハズバンド、45歳。アメリカ空軍の大佐。	船長はリックハズバンド四十五歳。アメリカ空軍の大佐。
c402-2	読み一致		ソオジュウシハウィリアムマクウルサイカイグンノチュウサダッタ	ソオジュウシハウィリアムマクウルサイカイグンノチュウサダッタ	操縦士はウィリアム・マクール、41歳。海軍の中佐だった。	操縦士はウィリアム・マクール四十一歳、海軍の中佐だった。
c403-1	読みが違う	ツミニ→—	ツミニノジッケンヲマトメルセキニンシャハマイケルアンダアソンサイ	ノジッケンヲマトメルセキニンシャハマイケルアンダアソンサイ	積み荷の実験をまとめる責任者は、マイケル・アンダーソン、43歳。	SM2の実験をまとめる責任者はマイケルアンダーソン、四十三歳。
c403-2	読み一致		デビッドブラウンハサイカイグンノタイサデエシデモアッタ	デビッドブラウンハサイカイグンノタイサデエシデモアッタ	デビッド・ブラウンは46歳。海軍の大佐で、医師でもあった。	デビッドブラウンは四十六歳、海軍の大佐で医師でもあった。
c404-1	読み一致		カルパナチャウラハサイコオクウウチュウコオガクノハカセダッタ	カルパナチャウラハサイコオクウウチュウコオガクノハカセダッタ	カルパナ・チャウラは41歳。航空宇宙工学の博士だった。	カルパナ・チャウラは四十一歳。航空宇宙工学の博士だった。
c404-2	読み一致		ロオレルクラアクモサイカイグンノイシダッタ	ロオレルクラアクモサイカイグンノイシダッタ	ローレル・クラークも41歳。海軍の医師だった。	ローレルクラークも四十一歳。海軍の医師だった。
c405-1	読み一致		イランラモンハサイイスラエルデサイショノオチュウヒコオシデアル	イランラモンハサイイスラエルデサイショノオチュウヒコオシデアル	イラン・ラモンは48歳。イスラエルで最初の宇宙飛行士である。	イラン・ラモンは四十八歳。イスラエルで最初の宇宙飛行士である。
c405-2	読みが違う	ショオ→アキラ	ニンムノキショオニハイスラエルノハタモエガカレテエタ	ニンムノキアキラニハイスラエルノハタモエガカレテエタ	任務の記章には、イスラエルの旗も描かれていた。	任務の機章にはイスラエルの旗も描かれていた。
c406-1	読み一致		コノヒコオハコクサイウチュウステエションヘハイカナイ	コノヒコオハコクサイウチュウステエションヘハイカナイ	この飛行は、国際宇宙ステーションへは行かない。	この飛行は国際宇宙ステーションへは行かない。
c406-2	読み一致		カモツシツニケンキュウヨオノヘヤヲツンダケンキュウダケノタメノヒコオダッタ	カモツシツニケンキュウヨオノヘヤヲツンダケンキュウダケノタメノヒコオダッタ	貨物室に研究用の部屋を積んだ、研究だけのための飛行だった。	貨物室に研究用の部屋を積んだ研究だけのための飛行だった。
c406-3	読み一致		スペエスハブトイウトンネルヲトオッテエキキスル	スペエスハブトイウトンネルヲトオッテエキキスル	スペースハブという。トンネルを通って行き来する。	スペースハブというトンネルを通って行き来する
c407-1	読み一致		カモツシツニツンダノハツスペエスハブヘノツウロトソノケンキュウシツ	カモツシツニツンダノハツスペエスハブヘノツウロトソノケンキュウシツ	貨物室に積んだのは5つ。スペースハブへの通路と、その研究室。	貨物室に積んだのは5つ。スペースハブへの通路とその研究室。
c407-2	読み一致		ノコリハモオヒトツノジッケンソオチトカソクドヲハカルケエキトナガクトブタメノホキュウノダイ	ノコリハモオヒトツノジッケンソオチトカソクドヲハカルケエキトナガクトブタメノホキュウノダイ	残りは、もう一つの実験装置と、加速度をはかる計器と、長く飛ぶための補給の台。	残りはもう一つの実験装置と加速度を測る計器と長く飛ぶための補給の台。
c408-1	読み一致		ケンキュウニハニンヲコエルカガクシャガカカワッテエタ	ケンキュウニハニンヲコエルカガクシャガカカワッテエタ	研究には、70人を超える科学者が関わっていた。	研究には70人を超える科学者が関わっていた。
c408-2	読み一致		ニンハアカグミトアオグミニワカレジカンタイセエデコオタイシナガラハタラク	ニンハアカグミトアオグミニワカレジカンタイセエデコオタイシナガラハタラク	7人は赤組と青組に分かれ、24時間態勢で交代しながら働く。	七人は赤組と青組に分かれ、二十四時間体制で交代しながら働く。
c409-1	読み一致		タカサハヤクキロセキドオカラドカタムイタキドオヲマワッテエタ	タカサハヤクキロセキドオカラドカタムイタキドオヲマワッテエタ	高さは約280キロ。赤道から39度傾いた軌道を回っていた。	高さは約280キロ、赤道から39度傾いた軌道を回っていた。
c409-2	読み一致		ヒコオニチメニハコノヒコオデサイショノキシャカイケンヲシテエル	ヒコオニチメニハコノヒコオデサイショノキシャカイケンヲシテエル	飛行3日目には、この飛行で最初の記者会見をしている。	飛行三日目にはこの飛行で最初の記者会見をしている。
c410-1	読み一致		ヒコオニチメジョオインハシジョオイチバンヨワイホノオヲツクッタ	ヒコオニチメジョオインハシジョオイチバンヨワイホノオヲツクッタ	飛行4日目、乗員は史上いちばん弱い炎を作った。	飛行四日目、乗員は史上一番弱い炎を作った。
c410-2	読み一致		ネツノツヨサニシテワットタンジョオビノロオソクノブンノデアル	ネツノツヨサニシテワットタンジョオビノロオソクノブンノデアル	熱の強さにして1ワット。誕生日のろうそくの50分の1である。	熱の強さにして一ワット。誕生日のろうそくの五十分の一である。
c411-1	読み一致		ヒコオニチメニハスイソオノサカナガヒキカエリカイコガガマユカラデタ	ヒコオニチメニハスイソオノサカナガヒキカエリカイコガガマユカラデタ	飛行11日目には、水槽の魚が1匹かえり、カイコガが繭から出た。	飛行十一日目には水槽の魚が一匹帰り、カイコ蛾が繭から出た。
c411-2	読みが違う	モク→ダマ	ニチメニハカコノジコデナクナッタヒトタチニモクトオヲササゲテエル	ニチメニハカコノジコデナクナッタヒトタチニダマトオヲササゲテエル	13日目には、過去の事故で亡くなった人たちに黙とうをささげている。	十三日目には過去の事故で亡くなった人たちにダマトウを捧げている。
c412-1	読み一致		ヒコオニチメノシンヤチジョオカラキチョオトソオジュウシニメエルガトドイタ	ヒコオニチメノシンヤチジョオカラキチョオトソオジュウシニメエルガトドイタ	飛行8日目の深夜、地上から機長と操縦士にメールが届いた。	飛行八日目の深夜、地上から機長と操縦士にメールが届いた。
c412-2	読み一致		ウチアゲノトキニダンネツザイガアタッタケンデアル	ウチアゲノトキニダンネツザイガアタッタケンデアル	打ち上げのときに断熱材が当たった件である。	打ち上げの時に断熱材が当たった件である。
c412-3	読み一致		ハナシニダスホドノコトデモナイ	ハナシニダスホドノコトデモナイ	話に出すほどの事でもない	話に出すほどのことでもない。
c413-1	読み一致		オナジコロショオトツノヨオスヲウツシタビョオホドノエエゾオモオクラレテエル	オナジコロショオトツノヨオスヲウツシタビョオホドノエエゾオモオクラレテエル	同じころ、衝突の様子を写した15秒ほどの映像も送られている。	同じ頃、衝突の様子を映した十五秒ほどの映像も送られている。
c413-2	読み一致		ケンメエハキシャカイケンデキカレソオナケン	ケンメエハキシャカイケンデキカレソオナケン	件名は「記者会見で聞かれそうな件」。	件名は記者会見で聞かれそうな件。
c413-3	読み一致		ブンメンハゼッタイニサイトツニュウノシンパイハナイトカイテエタ	ブンメンハゼッタイニサイトツニュウノシンパイハナイトカイテエタ	文面は「絶対に、再突入の心配はない」と書いていた。	文面は絶対に再突入の心配はないと書いていた。
c414-1	読み一致		オクッタリユウハキシャニキカレタトキニオドロカナイヨオニデアル	オクッタリユウハキシャニキカレタトキニオドロカナイヨオニデアル	送った理由は、記者に聞かれたときに驚かないようにである。	送った理由は記者に聞かれた時に驚かないようにである。
c414-2	読み一致		キチョオハウケトッタトヘンジヲシゼンインニマワシタ	キチョオハウケトッタトヘンジヲシゼンインニマワシタ	機長は受け取ったと返事をし、全員に回した。	機長は受け取ったと返事をし、全員に回した。
c415-1	読み一致		ニンハソレキリナニモキカサレテエナイ	ニンハソレキリナニモキカサレテエナイ	7人は、それきり何も聞かされていない。	七人はそれきり何も聞かされていない。
c415-2	読みが違う	ダ→カ／ツザ→ッタ	ダンネツザイノショオトツハニチカンノクラシニナニノエエキョオモアタエナカッタ	カンネッタイノショオトツハニチカンノクラシニナニノエエキョオモアタエナカッタ	断熱材の衝突は、16日間の暮らしに何の影響も与えなかった。	環熱帯の衝突は十六日間の暮らしに何の影響も与えなかった。
c416-1	読みが違う	フチ→エン	ソモソモキナイカラツバサノマエノフチハミエナイ	ソモソモキナイカラツバサノマエノエンハミエナイ	そもそも機内から、翼の前のふちは見えない。	そもそも機内から翼の前の縁は見えない。
c416-2	読み一致		マイメカラマイメノパネルハマドノドコカラモミエナカッタ	マイメカラマイメノパネルハマドノドコカラモミエナカッタ	1枚目から11枚目のパネルは、窓のどこからも見えなかった。	一枚目から十一枚目のパネルは窓のどこからも見えなかった。
c416-3	読み一致		ロボットアアムモコノヒコオニハツンデエナイ	ロボットアアムモコノヒコオニハツンデエナイ	ロボットアームも、この飛行には積んでいない。	ロボットアームもこの飛行には積んでいない。
c417-1	読み一致		タシカメルホオホオガナカッタワケデハナイ	タシカメルホオホオガナカッタワケデハナイ	確かめる方法が無かったわけではない。	確かめる方法がなかったわけではない。
c417-2	読み一致		ウチュウフクヲキテソトニデルフネガイカツドオヲスレバヒダリノツバサハミラレル	ウチュウフクヲキテソトニデルフネガイカツドオヲスレバヒダリノツバサハミラレル	宇宙服を着て外に出る船外活動をすれば、左の翼は見られる。	宇宙服を着て外に出る船外活動をすれば、左の翼は見られる。
c418-1	読み一致		サイシュウビニンハジッケンヲゼンブカタヅケカエルシタクヲオエタ	サイシュウビニンハジッケンヲゼンブカタヅケカエルシタクヲオエタ	最終日、7人は実験を全部片づけ、帰る支度を終えた。	最終日、七人は実験を全部片付け、帰る支度を終えた。
c418-2	読み一致		スベテセエジョオダッタ	スベテセエジョオダッタ	すべて正常だった。	全て正常だった。
c419-1	読みが違う	—→ニガ／キ→—	ヨクアサハツキニチカエルヒデアル	ヨクアサハニガツニチカエルヒデアル	翌朝は2月1日。帰る日である。	翌朝は二月一日、帰る日である。
c419-2	読み一致		テンキモキタイノグアイモキソクノハンイニオサマッテエタ	テンキモキタイノグアイモキソクノハンイニオサマッテエタ	天気も機体の具合も、規則の範囲に収まっていた。	天気も機体の具合も規則の範囲に収まっていた。
c420-1	読みが違う	ペエ→ヤ／—→ナ／—→イチガ／キ→—	ツイトオノペエジニノッテエルシャシンハツキニチニコノキタイカラトッタモノデアル	ツイトオノヤジナニノッテエルシャシンハイチガツニチニコノキタイカラトッタモノデアル	追悼の頁に載っている写真は、1月26日にこの機体から撮ったものである。	追悼のやじなに載っている写真は、 一月二十六日にこの機体から撮ったものである。
c420-2	読みが違う	ル→タ	ハンブンホドテラサレタツキガクラガリニウカンデエル	ハンブンホドテラサレタツキガクラガリニウカンデエタ	半分ほど照らされた月が、暗がりに浮かんでいる。	半分ほど照らされた月が暗がりに浮かんでいた。
c501-1	読み一致		キドオノオエデハナニモオキテエナイ	キドオノオエデハナニモオキテエナイ	軌道の上では、何も起きていない。	軌道の上では何も起きていない。
c501-2	読み一致		チジョオデハソノニチカンニベツノコトガススンデエタ	チジョオデハソノニチカンニベツノコトガススンデエタ	地上では、その16日間に別のことが進んでいた。	地上ではその十六日間に別のことが進んでいた。
c501-3	読み一致		ダンネツザイガアタッタトワカッタソノヨクジツカラデアル	ダンネツザイガアタッタトワカッタソノヨクジツカラデアル	断熱材が当たったと分かった、その翌日からである。	断熱材が当たったと分かったその翌日からである。
c502-1	読みが違う	ヘ→ケ	ヒコオニチメハヘンノエエキョオヲシラベルアツマリガツクラレタ	ヒコオニチメハケンノエエキョオヲシラベルアツマリガツクラレタ	飛行2日目、破片の影響を調べる集まりが作られた。	飛行二日目、派遣の影響を調べる集まりが作られた。
c502-2	読み一致		デブリヒョオカチイムトイウ	デブリヒョオカチイムトイウ	デブリ評価チームという。	デブリ評価チームという
c502-3	読み一致		キョオドオノギチョオハノロッチャギシトオケオイカイシャノマデラシダッタ	キョオドオノギチョオハノロッチャギシトオケオイカイシャノマデラシダッタ	共同の議長は、NASAのロッチャ技師と、請負会社のマデラ氏だった。	共同の議長はNASAのロッチャ技師と請負会社のマデラ氏だった。
c503-1	読み一致		タダシコノチイムハセエシキナアツカイニサレテエナイ	タダシコノチイムハセエシキナアツカイニサレテエナイ	ただし、このチームは正式な扱いにされていない。	ただし、このチームは正式な扱いにされていない。
c503-2	読みが違う	ダ→カ／ガ→ナ	ダレガセキニンシャナノカガキマラナイママニナッタ	カレガセキニンシャナノカナキマラナイママニナッタ	誰が責任者なのかが、決まらないままになった。	彼が責任者なのかな？決まらないままになった。
c503-3	読みが違う	—→イチガ／キ→—	アタエラレタシジハツキニチマデニケッカヲダセダケデアル	アタエラレタシジハイチガツニチマデニケッカヲダセダケデアル	与えられた指示は「1月24日までに結果を出せ」だけである。	与えられた指示は一月二十四日までに結果を出せだけである。
c504-1	読み一致		キドオニイルコロンビアゴオノヒダリノツバサヲトッテホシイ	キドオニイルコロンビアゴオノヒダリノツバサヲトッテホシイ	軌道にいるコロンビア号の左の翼を、撮ってほしい。	軌道にいるコロンビア号の左の翼を取ってほしい。
c504-2	読み一致		ボオエンキョオデモエエセエデモイイキズノオオキサガシリタイ	ボオエンキョオデモエエセエデモイイキズノオオキサガシリタイ	望遠鏡でも、衛星でもいい。傷の大きさが知りたい。	望遠鏡でも衛星でもいい。傷の大きさが知りたい。
c505-1	読み一致		ヨオキュウハドベツベツノトコロカラデテエル	ヨオキュウハドベツベツノトコロカラデテエル	要求は三度、別々のところから出ている。	要求は三度、別々のところから出ている。
c505-2	読み一致		ヒコオニチメシャシンサギョオハンノナガカラ	ヒコオニチメシャシンサギョオハンノナガカラ	飛行2日目、写真作業班の長から。	飛行二日目、写真作業班の長から
c505-3	読みが違う	ャ→—	ヒコオニチメウケオイカイシャノカンリシャカラオナジヒロッチャギシカラ	ヒコオニチメウケオイカイシャノカンリシャカラオナジヒロッチギシカラ	飛行6日目、請負会社の管理者から。同じ日、ロッチャ技師から。	飛行六日目、請負会社の管理者から同じ日ロッチ技師から
c506-1	読み一致		ドトモヒコオチュウノハンダンヲスルガワデトマッタ	ドトモヒコオチュウノハンダンヲスルガワデトマッタ	三度とも、飛行中の判断をする側で止まった。	何度とも飛行中の判断をする側で止まった。
c506-2	読みが違う	トオタ→フンダ	トメタガワハナカミデハナクテツヅキヲトオタ	トメタガワハナカミデハナクテツヅキヲフンダ	止めた側は、中身ではなく、手続きを問うた。	止めた側は中身ではなく手続きを踏んだ。
c506-3	読み一致		ダレガヨオキュウシテエルノカトトワレタ	ダレガヨオキュウシテエルノカトトワレタ	誰が要求しているのか、と問われた	誰が要求しているのかと問われた。
c507-1	読み一致		トワレタモノハミナオナジヨオニコタエタ	トワレタモノハミナオナジヨオニコタエタ	問われた者は、みな同じように答えた。	問われた者は皆同じように答えた。
c507-2	読み一致		セエシキナヒツヨオジョオケントシテシャシンヲモトメタモノハイナイ	セエシキナヒツヨオジョオケントシテシャシンヲモトメタモノハイナイ	正式な必要条件として、写真を求めた者はいない。	正式な必要条件として写真を求めた者はいない。
c507-3	読み一致		シャシンヲホシガッテエタチイムジシンニハダレモキカナカッタ	シャシンヲホシガッテエタチイムジシンニハダレモキカナカッタ	写真を欲しがっていたチーム自身には、誰も聞かなかった。	写真を欲しがっていたチーム自身には誰も聞かなかった。
c508-1	読み一致		グンヘノイライハイッタンデテエタ	グンヘノイライハイッタンデテエタ	軍への依頼は、いったん出ていた。	軍への依頼は一旦出ていた。
c508-2	読み一致		アイテハコロラドノヤマノナカニアルベエセンリャクグンノシレエブセツビヲサガシハジメテモイタ	アイテハコロラドノヤマノナカニアルベエセンリャクグンノシレエブセツビヲサガシハジメテモイタ	相手は、コロラドの山の中にある米戦略軍の司令部。設備を探し始めてもいた。	相手はコロラドの山の中にある米戦略軍の司令部設備を探し始めてもいた。
