行	扱い	理由
c416-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c417-1	要耳（機械で決着せず）	同上。「ペンタゴンの西南西8キロ（5マイル）まで」（★決め所の直前のカット）
c417-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c418-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c418-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c419-1	音は確定（EL_YOMI でかなを送っている）	管制＝EL_YOMI『かんせい』で送信＝音は確定（聞取『感性／慣性／完成／官政』は Scribe の字）
c419-2	音は確定（EL_YOMI でかなを送っている）	ボーイング757＝EL_YOMI『ボーイングななごなな』で送信＝音は確定（前は『707』）
c420-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c420-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c421-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c421-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c421-3	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c422-1	音は確定（EL_YOMI でかなを送っている）	防空司令部＝EL_YOMI『ぼうくう司令部』で送信＝音は確定（前は『航空司令部』で意味が反転していた）
c422-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c422-3	表記のゆれ（音は正しいと実測）	機目＝聞取『期目』＝いっき／にき（同じ読み）
c501-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c501-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c502-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c502-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c503-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c503-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c503-3	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c504-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c504-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c505-1	音は確定（EL_YOMI でかなを送っている）	滑走路＝EL_YOMI『かっそうろ』で送信＝音は確定
c505-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c506-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c506-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c507-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c507-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c508-1	表記のゆれ（音は正しいと実測）	いちばん＝聞取『一番』＝いちばん（同じ読み）
c508-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c509-1	音は確定（EL_YOMI でかなを送っている）	管制＝EL_YOMI『かんせい』で送信＝音は確定（聞取『感性／慣性／完成／官政』は Scribe の字）／管制官＝EL_YOMI『かんせいかん』で送信＝音は確定
c509-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c510-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c510-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c510-3	表記のゆれ（音は正しいと実測）	無い＝聞取『ない』＝表記のゆれ
c511-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c511-2	音は確定（EL_YOMI でかなを送っている）	の側＝EL_YOMI『の がわ』で送信＝音は確定
c512-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c513-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c513-2	音は確定（EL_YOMI でかなを送っている）	誘導路＝EL_YOMI『ゆうどうろ』で送信＝音は確定
c514-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c514-2	音は確定（EL_YOMI でかなを送っている）	報せ＝EL_YOMI『しらせ』で送信＝音は確定（聞取『知らせ』）
c515-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c515-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c516-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c516-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c517-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c518-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c518-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c519-1	音は確定（EL_YOMI でかなを送っている）	管制＝EL_YOMI『かんせい』で送信＝音は確定（聞取『感性／慣性／完成／官政』は Scribe の字）
c519-2	表記のゆれ（音は正しいと実測）	無い＝聞取『ない』＝表記のゆれ
c520-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c520-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c520-3	表記のゆれ（音は正しいと実測）	からになった＝聞取『空になった』＝からになった（同じ読み）
c601-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c601-2	表記のゆれ（音は正しいと実測）	そのほかに＝聞取『その他に』＝そのほかに（同じ読み）
c602-1	音は確定（EL_YOMI でかなを送っている）	93便は＝EL_YOMI でカナ／かな固定＝音は確定
c602-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c603-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c603-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c604-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c605-1	音は確定（EL_YOMI でかなを送っている）	管制＝EL_YOMI『かんせい』で送信＝音は確定（聞取『感性／慣性／完成／官政』は Scribe の字）
c605-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c606-1	音は確定（EL_YOMI でかなを送っている）	管制＝EL_YOMI『かんせい』で送信＝音は確定（聞取『感性／慣性／完成／官政』は Scribe の字）
c606-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c607-1	音は確定（EL_YOMI でかなを送っている）	管制＝EL_YOMI『かんせい』で送信＝音は確定（聞取『感性／慣性／完成／官政』は Scribe の字）／管制官＝EL_YOMI『かんせいかん』で送信＝音は確定
c607-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c608-1	音は確定（EL_YOMI でかなを送っている）	93便は＝EL_YOMI でカナ／かな固定＝音は確定
c608-2	表記のゆれ（音は正しいと実測）	無い＝聞取『ない』＝表記のゆれ
c609-1	音は確定（EL_YOMI でかなを送っている）	管制＝EL_YOMI『かんせい』で送信＝音は確定（聞取『感性／慣性／完成／官政』は Scribe の字）
c609-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c609-3	音は確定（EL_YOMI でかなを送っている）	客室＝EL_YOMI『きゃくしつ』で送信＝音は確定
c610-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c610-3	表記のゆれ（音は正しいと実測）	機目＝聞取『期目』＝いっき／にき（同じ読み）
c611-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c611-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c612-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c612-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c612-3	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c613-2	音は確定（EL_YOMI でかなを送っている）	報せ＝EL_YOMI『しらせ』で送信＝音は確定（聞取『知らせ』）／93便が＝EL_YOMI でカナ／かな固定＝音は確定
c613-3	表記のゆれ（音は正しいと実測）	のあと＝聞取『の後』＝表記のゆれ
c614-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c614-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c615-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c615-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c616-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c616-2	表記のゆれ（音は正しいと実測）	分かった＝聞取『わかった』＝表記のゆれ
c617-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c617-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c618-1	音は確定（EL_YOMI でかなを送っている）	客室＝EL_YOMI『きゃくしつ』で送信＝音は確定
c618-3	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c619-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c619-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c620-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c620-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c621-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c621-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c622-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c622-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c623-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c623-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c623-3	要耳（機械で決着せず）	同上。「首都まで、およそ201キロ（125マイル）」
c624-1	音は確定（EL_YOMI でかなを送っている）	93便が＝EL_YOMI でカナ／かな固定＝音は確定
c624-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c624-3	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c701-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c701-2	音は確定（EL_YOMI でかなを送っている）	の側＝EL_YOMI『の がわ』で送信＝音は確定
c702-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c702-2	音は確定（EL_YOMI でかなを送っている）	F-15＝EL_YOMI『エフじゅうご』で送信＝音は確定（前は『F3』）
c702-3	音は確定（EL_YOMI でかなを送っている）	北棟＝EL_YOMI『きたとう』で送信＝音は確定（聞取『北塔』）。⚠️ 読み方の決定そのものは要耳へ
c703-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c704-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c704-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c705-1	音は確定（EL_YOMI でかなを送っている）	言葉＝EL_YOMI『ことば』で送信＝音は確定
c705-2	表記のゆれ（音は正しいと実測）	分から＝聞取『わから』＝表記のゆれ
c706-1	音は確定（EL_YOMI でかなを送っている）	防空司令部＝EL_YOMI『ぼうくう司令部』で送信＝音は確定（前は『航空司令部』で意味が反転していた）
c706-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c706-3	表記のゆれ（音は正しいと実測）	いちばん＝聞取『一番』＝いちばん（同じ読み）
c707-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c707-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c708-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c708-2	表記のゆれ（音は正しいと実測）	減った＝EL_YOMI『へった』で送っている＝音は決まっている（前は『欠いた』『蹴った』）
c709-1	音は確定（EL_YOMI でかなを送っている）	防空司令部＝EL_YOMI『ぼうくう司令部』で送信＝音は確定（前は『航空司令部』で意味が反転していた）
c709-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c710-1	音は確定（EL_YOMI でかなを送っている）	北棟＝EL_YOMI『きたとう』で送信＝音は確定（聞取『北塔』）。⚠️ 読み方の決定そのものは要耳へ
c710-2	表記のゆれ（音は正しいと実測）	分かって＝聞取『わかって』＝表記のゆれ
c711-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c711-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c712-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c712-2	音は確定（EL_YOMI でかなを送っている）	首都の＝EL_YOMI『しゅとの』で送信＝音は確定
c713-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c713-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c714-1	音は確定（EL_YOMI でかなを送っている）	首都の＝EL_YOMI『しゅとの』で送信＝音は確定
c714-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c714-3	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c715-1	表記のゆれ（音は正しいと実測）	分から＝聞取『わから』＝表記のゆれ
c715-2	音は確定（EL_YOMI でかなを送っている）	墜ち＝EL_YOMI『おち』で送信＝音は確定（聞取『落ち』）／93便は＝EL_YOMI でカナ／かな固定＝音は確定
c716-1	音は確定（EL_YOMI でかなを送っている）	防空司令部＝EL_YOMI『ぼうくう司令部』で送信＝音は確定（前は『航空司令部』で意味が反転していた）
c716-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c717-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c717-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c718-1	表記のゆれ（別の検査で決着）	異音は語に重なる（促音）＝el_artifact_words で『語なし』0件
c718-2	音は確定（EL_YOMI でかなを送っている）	墜ち＝EL_YOMI『おち』で送信＝音は確定（聞取『落ち』）
c719-1	音は確定（EL_YOMI でかなを送っている）	首都の＝EL_YOMI『しゅとの』で送信＝音は確定
c719-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c720-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c720-2	音は確定（EL_YOMI でかなを送っている）	墜ち＝EL_YOMI『おち』で送信＝音は確定（聞取『落ち』）／93便が＝EL_YOMI でカナ／かな固定＝音は確定
c720-3	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c801-1	音は確定（EL_YOMI でかなを送っている）	分単位＝EL_YOMI『ふんたんい』で送信＝音は確定
c801-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c802-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c802-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c802-3	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c803-1	音は確定（EL_YOMI でかなを送っている）	管制＝EL_YOMI『かんせい』で送信＝音は確定（聞取『感性／慣性／完成／官政』は Scribe の字）
c803-2	音は確定（EL_YOMI でかなを送っている）	防空司令部＝EL_YOMI『ぼうくう司令部』で送信＝音は確定（前は『航空司令部』で意味が反転していた）
c804-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c804-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c805-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c805-2	音は確定（EL_YOMI でかなを送っている）	93便は＝EL_YOMI でカナ／かな固定＝音は確定
c806-1	音は確定（EL_YOMI でかなを送っている）	墜ち＝EL_YOMI『おち』で送信＝音は確定（聞取『落ち』）／93便は＝EL_YOMI でカナ／かな固定＝音は確定
c806-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c807-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c807-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c808-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c808-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c808-3	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c809-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c809-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c810-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c811-1	表記のゆれ（音は正しいと実測）	機目＝聞取『期目』＝いっき／にき（同じ読み）
c811-2	要耳（機械で決着せず）	重複読みの門番が鳴った唯一の行（「8時46分40秒、8時46分30秒、8時46分26秒」）。語ごとの時刻では**重複なし＝誤報**と確定したが、時刻を3つ続けて読む間が自然か
c812-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c812-2	音は確定（EL_YOMI でかなを送っている）	管制＝EL_YOMI『かんせい』で送信＝音は確定（聞取『感性／慣性／完成／官政』は Scribe の字）
c813-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c813-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c814-1	音は確定（EL_YOMI でかなを送っている）	管制＝EL_YOMI『かんせい』で送信＝音は確定（聞取『感性／慣性／完成／官政』は Scribe の字）
c814-2	音は確定（EL_YOMI でかなを送っている）	いつ火が＝EL_YOMI『いつ ひが』で送信＝音は確定（前は『木が』で意味が変わっていた）
c815-1	表記のゆれ（音は正しいと実測）	いちばん＝聞取『一番』＝いちばん（同じ読み）
c815-2	音は確定（EL_YOMI でかなを送っている）	分単位＝EL_YOMI『ふんたんい』で送信＝音は確定
c816-1	表記のゆれ（音は正しいと実測）	分かって＝聞取『わかって』＝表記のゆれ
c816-2	表記のゆれ（音は正しいと実測）	出どころ＝聞取『出所』＝でどころ（同じ読み）
c817-1	表記のゆれ（音は正しいと実測）	分から＝聞取『わから』＝表記のゆれ
c817-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c818-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c818-2	音は確定（EL_YOMI でかなを送っている）	分単位＝EL_YOMI『ふんたんい』で送信＝音は確定
c818-3	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c901-1	音は確定（EL_YOMI でかなを送っている）	2001年＝EL_YOMI『にせんいちねん』で送信＝音は確定（前は『2010年』）
c901-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c902-1	表記のゆれ（音は正しいと実測）	行って＝EL_YOMI『おこなって』で送っている＝音は決まっている
c902-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c903-1	表記のゆれ（音は正しいと実測）	そのあと＝聞取『その後』＝表記のゆれ／のあと＝聞取『の後』＝表記のゆれ／造り＝聞取『作り』＝つくり（同じ読み）
c903-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c903-3	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c904-1	要耳（機械で決着せず）	同上。「刃渡り10センチ（4インチ）未満の刃物も」
c904-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c905-1	音は確定（EL_YOMI でかなを送っている）	の側＝EL_YOMI『の がわ』で送信＝音は確定
c905-2	音は確定（EL_YOMI でかなを送っている）	管制＝EL_YOMI『かんせい』で送信＝音は確定（聞取『感性／慣性／完成／官政』は Scribe の字）
c906-1	音は確定（EL_YOMI でかなを送っている）	報せ＝EL_YOMI『しらせ』で送信＝音は確定（聞取『知らせ』）
c906-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c907-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c907-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c907-3	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c908-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c908-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c909-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c909-2	表記のゆれ（音は正しいと実測）	のあと＝聞取『の後』＝表記のゆれ
c909-3	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c910-1	表記のゆれ（音は正しいと実測）	じゅう＝聞取『中』＝じゅう（表記のゆれ）
c910-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c910-3	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
ep01-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
ep01-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
ep02-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
ep02-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
ep02-3	音は確定（EL_YOMI でかなを送っている）	便名＝EL_YOMI『びんめい』で送信＝音は確定
ep03-1	音は確定（EL_YOMI でかなを送っている）	猶予＝EL_YOMI『ゆうよ』で送信＝音は確定
ep03-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
ep04-1	音は確定（EL_YOMI でかなを送っている）	墜ち＝EL_YOMI『おち』で送信＝音は確定（聞取『落ち』）
ep04-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
ep05-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
ep05-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
ep06-1	音は確定（EL_YOMI でかなを送っている）	言葉＝EL_YOMI『ことば』で送信＝音は確定
ep06-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
