行	判定	食い違い	台本の読み	聞取の読み	台本	聞取
c303-2	読み一致		カッソオロノバンゴオハムキヲアラワスナラオヨソドノホオガクヘススム	カッソオロノバンゴオハムキヲアラワスナラオヨソドノホオガクヘススム	滑走路の番号は、向きを表す。12なら、およそ120度の方角へ進む。	滑走路の番号は向きを表す。十二なら、およそ百二十度の方角へ進む。
c303-3	読み一致		ハンタイカラハイレバドダカラオナジホンヲトモトモヨブ	ハンタイカラハイレバドダカラオナジホンヲトモトモヨブ	反対から入れば300度。だから、同じ1本を12とも30とも呼ぶ。	反対から入れば三百度。だから同じ一本を十二とも三十とも呼ぶ。
c304-1	読み一致		カッソオロノワキニユウドオロガホンアル	カッソオロノワキニユウドオロガホンアル	滑走路のわきに、誘導路が1本ある。	滑走路の脇に誘導路が1本ある。
c304-2	読み一致		ユウドオロハキタイガチジョオヲウゴクタメノミチデリチャクリクニハツカワナイ	ユウドオロハキタイガチジョオヲウゴクタメノミチデリチャクリクニハツカワナイ	誘導路は、機体が地上を動くための道で、離着陸には使わない。	誘導路は機体が地上を動くための道で、離着陸には使わない。
c304-3	読み一致		ツナグミチハホンチュウキジョオニチカイホオカラデアル	ツナグミチハホンチュウキジョオニチカイホオカラデアル	つなぐ道は4本。駐機場に近いほうからC-1、C-2、C-3、C-4である。	つなぐ道は四本。駐機場に近い方からC1、C2、C3、C4である。
c305-1	読み一致		コノヒチュウキジョオハマワサレテキタキタイデスッカリウマッタ	コノヒチュウキジョオハマワサレテキタキタイデスッカリウマッタ	この日、駐機場は、回されてきた機体ですっかり埋まった。	この日、駐機場は回されてきた機体ですっかり埋まった。
c305-2	読み一致		ハイリキラナイキタイハユウドオロニナラブコトニナル	ハイリキラナイキタイハユウドオロニナラブコトニナル	入りきらない機体は、誘導路に並ぶことになる。	入りきらない機体は誘導路に並ぶことになる。
c306-1	読み一致		ユウドオロニナランダキノオチキガジャンボキノデアル	ユウドオロニナランダキノオチキガジャンボキノデアル	誘導路に並んだ5機のうち、2機がジャンボ機の747である。	誘導路に並んだ五機のうち二機がジャンボ機の七四七である。
c306-2	読み一致		ソノキガトパンナムダッタノコリノキハモットチイサイ	ソノキガトパンナムダッタノコリノキハモットチイサイ	その2機が、KLMとパンナムだった。残りの3機は、もっと小さい。	その二機がKLMとパンナムだった。残りの三機はもっと小さい。
c307-1	読みが違う	コ→ジョ	ヘエコオユウドオロガキタイデウマルトデテエクキタイハトオレナクナル	ヘエジョオユウドオロガキタイデウマルトデテエクキタイハトオレナクナル	平行誘導路が機体で埋まると、出ていく機体は通れなくなる。	平常誘導路が機体で埋まると出ていく機体は通れなくなる。
c307-2	読み一致		トオリミチガソノママチュウシャジョオニナッテシマウ	トオリミチガソノママチュウシャジョオニナッテシマウ	通り道が、そのまま駐車場になってしまう。	通り道がそのまま駐車場になってしまう。
c308-1	読みが違う	アト→ノチ	ラスパルマスクウコオガヒライタアトパンナムキガカンセエトオヲヨンダ	ラスパルマスクウコオガヒライタノチパンナムキガカンセエトオヲヨンダ	ラスパルマス空港が開いたあと、パンナム機が管制塔を呼んだ。	ラスパルマス空港が開いた後、パンナム機が管制塔を呼んだ。
c308-2	読み一致		エンジンヲカケルキョカガホシイトツタエテエルキョカハデタ	エンジンヲカケルキョカガホシイトツタエテエルキョカハデタ	エンジンをかける許可がほしい、と伝えている。許可は出た。	エンジンをかける許可が欲しいと伝えている。許可は出た。
c309-1	読み一致		タダシチュウイガツイテエタチジョオソオコオデモンダイガオキルカモシレナイト	タダシチュウイガツイテエタチジョオソオコオデモンダイガオキルカモシレナイト	ただし、注意が付いていた。地上走行で問題が起きるかもしれない、と。	ただし注意がついていた。地上走行で問題が起きるかもしれないと。
c309-2	読み一致		マエニキガイテヘエコオユウドオロガトオレナイカラデアル	マエニキガイテヘエコオユウドオロガトオレナイカラデアル	前にKLM機がいて、平行誘導路が通れないからである。	前にKLM機がいて平行誘導路が通れないからである。
c310-1	読み一致		ジッサイニウゴクジカンニナルトソノトオリニナッタ	ジッサイニウゴクジカンニナルトソノトオリニナッタ	実際に動く時間になると、そのとおりになった。	実際に動く時間になるとその通りになった。
c310-2	読みが違う	アイダ→マ	アイダニイタキハサキニデテエッタ	マニイタキハサキニデテエッタ	あいだにいた3機は、先に出ていった。	間にいた三基は先に出て行った。
c310-3	読み一致		ノコッタノハミチヲフサグキトソノオシロノパンナムキダケデアル	ノコッタノハミチヲフサグキトソノオシロノパンナムキダケデアル	残ったのは、道をふさぐKLM機と、そのうしろのパンナム機だけである。	残ったのは道を塞ぐKLM機とその後ろのパンナム機だけである。
c311-1	読み一致		パンナムノフクソオジュウシトコオクウキカンシガキタイヲオリタ	パンナムノフクソオジュウシトコオクウキカンシガキタイヲオリタ	パンナムの副操縦士と航空機関士が、機体を降りた。	パンナムの副操縦士と航空機関士が機体を降りた。
c311-2	読みが違う	アイダ→マ	キノアイダニドレダケノスキマガアルノカヲタシカメルタメデアル	キノマニドレダケノスキマガアルノカヲタシカメルタメデアル	二機のあいだに、どれだけのすき間があるのかを確かめるためである。	二機の間にどれだけの隙間があるのかを確かめるためである。
c312-1	読み一致		ミタメデキメルコトハシナカッタニンハジメンニオリテエル	ミタメデキメルコトハシナカッタニンハジメンニオリテエル	見た目で決めることは、しなかった。二人は、地面に降りている。	見た目で決めることはしなかった。二人は地面に降りている。
c312-2	読み一致		オリテスキマヲハカッタ	オリテスキマヲハカッタ	降りて、すき間を測った	降りて隙間を測った。
c313-1	読み一致		ケッカハトオレナイダッタ	ケッカハトオレナイダッタ	結果は、通れない、だった。	結果は通れないだった。
c313-2	読み一致		スキマハガトオリヌケルニハタリナカッタ	スキマハガトオリヌケルニハタリナカッタ	すき間は、747が通り抜けるには足りなかった。	隙間は七四七が通り抜けるには足りなかった。
c313-3	読み一致		パンナムハキガウゴクノヲマツシカナイ	パンナムハキガウゴクノヲマツシカナイ	パンナムは、KLM機が動くのを待つしかない。	パンナムはKLM機が動くのを待つしかない。
c314-1	読み一致		ガシュッパツノジュンビヲハジメタノハソレカラオヨソジカンゴデアル	ガシュッパツノジュンビヲハジメタノハソレカラオヨソジカンゴデアル	KLMが出発の準備を始めたのは、それからおよそ1時間後である。	KLMが出発の準備を始めたのはそれからおよそ一時間後である。
c314-2	読みが違う	アイダ→カン	ソノアイダパンナムノジョオキャクハキナイデマタサレツヅケタ	ソノカンパンナムノジョオキャクハキナイデマタサレツヅケタ	そのあいだ、パンナムの乗客は機内で待たされ続けた。	その間、パンナムの乗客は機内で待たされ続けた。
c315-1	読み一致		カッソオロハタイラデハナイマンナカノアタリガフクランデエル	カッソオロハタイラデハナイマンナカノアタリガフクランデエル	滑走路は、平らではない。真ん中のあたりが、ふくらんでいる。	滑走路は平らではない。真ん中の辺りが膨らんでいる。
c316-1	読みが違う	ジ→シ	ガワノハジハメエトル	ガワノハシハメエトル	30側の端は、610メートル。	三十川の橋は六百十メートル。
c316-2	読みが違う	ジ→シ	ガワノハジハメエトル	ガワノハシハメエトル	12側の端は、629メートル。	十二川の橋は六百二十九メートル。
c316-3	読み一致		イチバンタカイノハトイウデグチノアタリダトホオコクショハカイテエル	イチバンタカイノハトイウデグチノアタリダトホオコクショハカイテエル	いちばん高いのは、C-3という出口のあたりだと報告書は書いている。	一番高いのはC3という出口の辺りだと報告書は書いている。
c317-1	読み一致		クモガオリルトカンセエトオカラハカッソオロヲハシルキタイガミエナクナル	クモガオリルトカンセエトオカラハカッソオロヲハシルキタイガミエナクナル	雲が降りると、管制塔からは、滑走路を走る機体が見えなくなる。	雲が降りると、管制塔からは滑走路を走る機体が見えなくなる。
c318-1	読み一致		ユウドオロガツカエナイトキキタイハドコヲハシルコトニナルノカ	ユウドオロガツカエナイトキキタイハドコヲハシルコトニナルノカ	誘導路が使えないとき、機体はどこを走ることになるのか。	誘導路が使えない時、機体はどこを走ることになるのか。
c318-2	読み一致		コタエハカッソオロソノモノデアルチャクリクシテクルキタイトオナジホンヲツカウ	コタエハカッソオロソノモノデアルチャクリクシテクルキタイトオナジホンヲツカウ	答えは、滑走路そのものである。着陸してくる機体と、同じ1本を使う。	答えは滑走路そのものである。着陸してくる機体と同じ一本を使う。
c319-1	読みが違う	アイダ→マ	カッソオロヲキタイガハシッテエルアイダハソコニダレモオリラレナイ	カッソオロヲキタイガハシッテエルマハソコニダレモオリラレナイ	滑走路を機体が走っているあいだは、そこに誰も降りられない。	滑走路を機体が走っている間はそこに誰も降りられない。
c319-2	読み一致		ダカラカンセエカンハハシルキタイヲデキルダケハヤクカッソオロカラダシタイ	ダカラカンセエカンハハシルキタイヲデキルダケハヤクカッソオロカラダシタイ	だから管制官は、走る機体をできるだけ早く滑走路から出したい。	だから管制官は走る機体をできるだけ早く滑走路から出したい。
c320-1	読み一致		ソシテハウゴキダスマエニネンリョオヲタストキメタ	ソシテハウゴキダスマエニネンリョオヲタストキメタ	そしてKLMは、動き出す前に、燃料を足すと決めた。	そしてKLMは動き出す前に燃料を足すと決めた。
c321-1	読みが違う	ス→ツ	ユキサキハスグトナリノシマデアルソレデモココデタスコトニシタ	ユキサキハスグトナリノシマデアルソレデモココデタツコトニシタ	行き先は、すぐ隣の島である。それでも、ここで足すことにした。	行き先はすぐ隣の島である。それでもここで絶つことにした。
c322-1	読み一致		ナゼタシタノカホオコクショハソノリユウマデカキノコシテエル	ナゼタシタノカホオコクショハソノリユウマデカキノコシテエル	なぜ足したのか。報告書は、その理由まで書き残している。	なぜ足したのか。報告書はその理由まで書き残している。
c322-2	読み一致		ソシテコノハンダンガウシロニイタキタイヲトメツヅケルコトニナル	ソシテコノハンダンガウシロニイタキタイヲトメツヅケルコトニナル	そしてこの判断が、うしろにいた機体を止め続けることになる。	そしてこの判断が後ろにいた機体を止め続けることになる。
c401-1	読み一致		ハカンセエトオニシュッパツノヨテエジコクヲタズネネンリョオヲタスヒツヨオガアルトツタエタ	ハカンセエトオニシュッパツノヨテエジコクヲタズネネンリョオヲタスヒツヨオガアルトツタエタ	KLMは管制塔に出発の予定時刻をたずね、燃料を足す必要があると伝えた。	KLMは管制塔に出発の予定時刻を尋ね、燃料を足す必要があると伝えた。
c401-2	読みが違う	フ→ジュウブ	カカルジカンハオヨソフンダトイッテエル	カカルジカンハオヨソジュウブンダトイッテエル	かかる時間は、およそ30分だと言っている。	かかる時間はおよそ三十分だと言っている。
c402-1	読み一致		フンハミジカイジカンデハナイ	フンハミジカイジカンデハナイ	30分は、短い時間ではない。	30分は短い時間ではない。
c402-2	読み一致		マエニイルキタイガフントマレバウシロノキタイモフントマル	マエニイルキタイガフントマレバウシロノキタイモフントマル	前にいる機体が30分止まれば、うしろの機体も30分止まる。	前にいる機体が30分止まれば、後ろの機体も30分止まる。
c403-1	読み一致		ジッサイニイレタリョオハリットル	ジッサイニイレタリョオハリットル	実際に入れた量は、55,500リットル。	実際に入れた量は五万五千五百リットル。
c403-2	読み一致		コレガオオイノカスクナイノカハユキサキマデノキョリデキマル	コレガオオイノカスクナイノカハユキサキマデノキョリデキマル	これが多いのか少ないのかは、行き先までの距離で決まる。	これが多いのか少ないのかは行き先までの距離で決まる。
c404-1	読みが違う	アイダ→マ／ハ→ガ	キュウユノアイダジョオキャクハキナイニイタホオコクショハソコモカイテエル	キュウユノマジョオキャクガキナイニイタホオコクショハソコモカイテエル	給油のあいだ、乗客は機内にいた。報告書は、そこも書いている。	給油の間、乗客が機内にいた。報告書はそこも書いている。
c404-2	読み一致		タアミナルヘモドッタヒトタチガモオイチドセキニスワッテマッテエタ	タアミナルヘモドッタヒトタチガモオイチドセキニスワッテマッテエタ	ターミナルへ戻った人たちが、もう一度、席に座って待っていた。	ターミナルへ戻った人たちがもう一度席に座って待っていた。
c405-1	読み一致		テネリフェカララスパルマスマデハオヨソブンノヒコオデアル	テネリフェカララスパルマスマデハオヨソブンノヒコオデアル	テネリフェからラスパルマスまでは、およそ25分の飛行である。	テネリフェからラス・パルマスまではおよそ二五分の飛行である。
c405-2	読み一致		ブンノヒコオニリットルハオオスギル	ブンノヒコオニリットルハオオスギル	25分の飛行に、55,500リットルは多すぎる。	二五分の飛行に五万五千五百リットルは多すぎる。
c406-1	読み一致		ホオコクショハソノリユウヲコオカンガエテエル	ホオコクショハソノリユウヲコオカンガエテエル	報告書は、その理由をこう考えている。	報告書はその理由をこう考えている。
c406-2	読み一致		キチョオハラスパルマスデノキュウユヲサケタカッタノダロオト	キチョオハラスパルマスデノキュウユヲサケタカッタノダロオト	機長は、ラスパルマスでの給油を避けたかったのだろう、と。	機長はラスパルマスでの給油を避けたかったのだろうと。
c407-1	読みが違う	アト→ノチ	ウカイシタキタイハコノアトラスパルマスニアツマル	ウカイシタキタイハコノノチラスパルマスニアツマル	迂回した機体は、このあとラスパルマスに集まる。	迂回した機体はこの後ラス・パルマスに集まる。
c407-2	読み一致		ソコデキュウユノジュンバンヲマテバマタオクレル	ソコデキュウユノジュンバンヲマテバマタオクレル	そこで給油の順番を待てば、また遅れる。	そこで給油の順番を待てばまた遅れる。
c407-3	読み一致		ダカラサキニイレテオク	ダカラサキニイレテオク	だから、先に入れておく。	だから先に入れておく。
c408-1	読み一致		コノリョオガアレバラスパルマスデエレナオサナクテモヨカッタ	コノリョオガアレバラスパルマスデエレナオサナクテモヨカッタ	この量があれば、ラスパルマスで入れ直さなくてもよかった。	この量があればラスパルマスで入れ直さなくてもよかった。
c408-2	読み一致		ソノママアムステルダムマデモドレタトホオコクショハタシカメテエル	ソノママアムステルダムマデモドレタトホオコクショハタシカメテエル	そのままアムステルダムまで戻れた、と報告書は確かめている。	そのままアムステルダムまで戻れたと報告書は確かめている。
c409-1	読み一致		ココカラモオヒトツノトケエノハナシニナルネンリョオノトケエデハナイ	ココカラモオヒトツノトケエノハナシニナルネンリョオノトケエデハナイ	ここから、もう一つの時計の話になる。燃料の時計ではない。	ここからもう一つの時計の話になる。燃料の時計ではない。
c409-2	読み一致		ジョオインガハタライテエイジカンノジョオゲンデアルコレガキチョオヲオイツメル	ジョオインガハタライテエイジカンノジョオゲンデアルコレガキチョオヲオイツメル	乗員が働いていい時間の、上限である。これが、機長を追いつめる。	乗員が働いていい時間の上限である。これが機長を追い詰める。
c410-1	読み一致		ヒコオキノジョオインニハツヅケテハタラケルジカンノジョオゲンガアルツカレヲサケルタメデアル	ヒコオキノジョオインニハツヅケテハタラケルジカンノジョオゲンガアルツカレヲサケルタメデアル	飛行機の乗員には、続けて働ける時間の上限がある。疲れを避けるためである。	飛行機の乗員には続けて働ける時間の上限がある。疲れを避けるためである。
c410-2	読み一致		オランダデハソノキマリガカワッタバカリダッタ	オランダデハソノキマリガカワッタバカリダッタ	オランダでは、その決まりが変わったばかりだった。	オランダではその決まりが変わったばかりだった。
c411-1	読み一致		カワルマエハキチョオノハンダンデノバスコトガデキタ	カワルマエハキチョオノハンダンデノバスコトガデキタ	変わる前は、機長の判断で延ばすことができた。	変わる前は機長の判断で延ばすことができた。
c411-2	読み一致		モクテキチマデトビキルタメニスコシコエルソレガミトメラレテエタ	モクテキチマデトビキルタメニスコシコエルソレガミトメラレテエタ	目的地まで飛びきるために少し超える。それが認められていた。	目的地まで飛びきるために少し超える。それが認められていた。
c412-1	読みが違う	アト→ノチ	カワッタアトハイッサイノバセナイ	カワッタノチハイッサイノバセナイ	変わったあとは、一切、延ばせない。	変わった後は一切伸ばせない。
c412-2	読み一致		キチョオガジョオゲンヲコエルコトハキンジラレタ	キチョオガジョオゲンヲコエルコトハキンジラレタ	機長が上限を超えることは、禁じられた。	機長が上限を超えることは禁じられた。
c412-3	読み一致		コエタラホオリツデサバカレル	コエタラホオリツデサバカレル	超えたら、法律で裁かれる	超えたら法律で裁かれる。
c413-1	読み一致		モオヒトツカワッタコトガアル	モオヒトツカワッタコトガアル	もう一つ、変わったことがある。	もう一つ変わったことがある
c413-2	読み一致		ネンツキマデハジョオゲンノケエサンハカンタンダッタミルコオモクガスクナイ	ネンツキマデハジョオゲンノケエサンハカンタンダッタミルコオモクガスクナイ	1976年12月までは、上限の計算は簡単だった。見る項目が少ない。	1976年12月までは上限の計算は簡単だった。見る項目が少ない。
c414-1	読み一致		ソレガトテモフクザツニナッタホオコクショハコオカイテエル	ソレガトテモフクザツニナッタホオコクショハコオカイテエル	それが、とても複雑になった。報告書は、こう書いている。	それがとても複雑になった。報告書はこう書いている。
c414-2	読み一致		ジッサイノトコロソオジュウシツデハキメラレナイ	ジッサイノトコロソオジュウシツデハキメラレナイ	実際のところ、操縦室では決められない。	実際のところ、操縦室では決められない。
c414-3	読み一致		ツマリキチョオハジブンノジョオゲンヲジブンデハダセナクナッテエタ	ツマリキチョオハジブンノジョオゲンヲジブンデハダセナクナッテエタ	つまり機長は、自分の上限を、自分では出せなくなっていた。	つまり機長は自分の上限を自分では出せなくなっていた。
c415-1	読み一致		ダカラカイシャニトイアワセルコトガツヨクススメラレタ	ダカラカイシャニトイアワセルコトガツヨクススメラレタ	だから、会社に問い合わせることが強くすすめられた。	だから会社に問い合わせることが強く勧められた。
c415-2	読み一致		ジブンタチガアトフンマデハタラケルノカヲチジョオニタズネルシカナイ	ジブンタチガアトフンマデハタラケルノカヲチジョオニタズネルシカナイ	自分たちがあと何分まで働けるのかを、地上にたずねるしかない。	自分たちがあと何分まで働けるのかを地上に尋ねるしかない。
c416-1	読み一致		テネリフェデマサニソレガオキタ	テネリフェデマサニソレガオキタ	テネリフェで、まさにそれが起きた。	テネリフェでまさにそれが起きた。
c416-2	読み一致		キチョオハタンパノムセンデアムステルダムノオンコオノブショニツナイデエル	キチョオハタンパノムセンデアムステルダムノオンコオノブショニツナイデエル	機長は短波の無線で、アムステルダムの運航の部署につないでいる。	機長は短波の無線でアムステルダムの運航の部署につないでいる。
c417-1	読み一致		カエッテキタコタエハハッキリシタモノデハナカッタ	カエッテキタコタエハハッキリシタモノデハナカッタ	返ってきた答えは、はっきりしたものではなかった。	返ってきた答えははっきりしたものではなかった。
c417-2	読み一致		アルジコクヨリマエニリリクデキルナラモンダイハナサソオダ	アルジコクヨリマエニリリクデキルナラモンダイハナサソオダ	ある時刻より前に離陸できるなら、問題は無さそうだ。	ある時刻より前に離陸できるなら問題はなさそうだ。
c417-3	読みが違う	ハ→ガ	ソノアルジコクガジナノカハホオコクショニノコッテエナイ	ソノアルジコクガジナノカガホオコクショニノコッテエナイ	その、ある時刻が何時なのかは、報告書に残っていない。	そのある時刻が何時なのかが報告書に残っていない。
c418-1	読みが違う	オコナ→イ	アブナケレバラスパルマスヘデンポオヲオクルツマリオコナッタサキデシラセル	アブナケレバラスパルマスヘデンポオヲオクルツマリイッタサキデシラセル	危なければ、ラスパルマスへ電報を送る。つまり、行った先で知らせる。	危なければラス・パルマスへ電報を送る。つまり行った先で知らせる。
c418-2	読み一致		キチョオハジブンノジョオゲンヲシラナイママカッソオロヘムカッタ	キチョオハジブンノジョオゲンヲシラナイママカッソオロヘムカッタ	機長は、自分の上限を知らないまま滑走路へ向かった。	機長は自分の上限を知らないまま滑走路へ向かった。
c419-1	読み一致		ホオコクショハコノテンヲハッキリカイテエル	ホオコクショハコノテンヲハッキリカイテエル	報告書は、この点をはっきり書いている。	報告書はこの点をはっきり書いている。
c419-2	読みが違う	ハ→ガ	ジブンノゲンカイヲキメラレナイコノフタシカサハシンリノメンデオオキナヨオソダッタ	ジブンノゲンカイヲキメラレナイコノフタシカサガシンリノメンデオオキナヨオソダッタ	自分の限界を決められないこの不確かさは、心理の面で大きな要素だった。	自分の限界を決められないこの不確かさが心理の面で大きな要素だった。
c420-1	読み一致		キタイニハネンリョオガハイリジョオキャクモセキニモドッタ	キタイニハネンリョオガハイリジョオキャクモセキニモドッタ	機体には燃料が入り、乗客も席に戻った。	機体には燃料が入り、乗客も席に戻った。
c420-2	読み一致		キュウユニツカッタフンハアトデドモカゾエナオサレルコトニナル	キュウユニツカッタフンハアトデドモカゾエナオサレルコトニナル	給油に使った30分は、あとで何度も数え直されることになる。	給油に使った三十分は後で何度も数え直されることになる。
c501-1	読み一致		テネリフェノテンキハフツウノクウコオトハチガウホオコクショハイッセツヲサイテエル	テネリフェノテンキハフツウノクウコオトハチガウホオコクショハイッセツヲサイテエル	テネリフェの天気は、ふつうの空港とは違う。報告書は一節を割いている。	テネリフェの天気は普通の空港とは違う。報告書は一節を割いている。
c501-2	読み一致		ココデシカイヲワルクスルモノハキリデハナイ	ココデシカイヲワルクスルモノハキリデハナイ	ここで視界を悪くするものは、霧ではない。	ここで視界を悪くするものは霧ではない。
c502-1	読み一致		キリナラコサヲカナリセエカクニハカルコトガデキル	キリナラコサヲカナリセエカクニハカルコトガデキル	霧なら、濃さをかなり正確に測ることができる。	霧なら濃さをかなり正確に測ることができる。
c502-2	読み一致		ドレダケミエルカモスウジニデキルココデオキルノハソレデハナイ	ドレダケミエルカモスウジニデキルココデオキルノハソレデハナイ	どれだけ見えるかも、数字にできる。ここで起きるのは、それではない。	どれだけ見えるかも数字にできる。ここで起きるのはそれではない。
c503-1	読み一致		ジメンニツイタクモノソオガカゼニナガサレテクル	ジメンニツイタクモノソオガカゼニナガサレテクル	地面についた雲の層が、風に流されてくる。	地面についた雲の層が風に流されてくる。
c503-2	読み一致		カタマリガトオリスギルタビニミエカタガカワル	カタマリガトオリスギルタビニミエカタガカワル	かたまりが通り過ぎるたびに、見え方が変わる。	塊が通り過ぎるたびに見え方が変わる。
c504-1	読み一致		ホオコクショノイイカタヲソノママカリルココハダイジナトコロデアル	ホオコクショノイイカタヲソノママカリルココハダイジナトコロデアル	報告書の言い方を、そのまま借りる。ここは、大事なところである。	報告書の言い方をそのまま借りる。ここは大事なところである。
c504-2	読み一致		キリデハナイジメンニツイタクモダッタ	キリデハナイジメンニツイタクモダッタ	霧ではない。地面についた雲だった	霧ではない、地面についた雲だった。
c505-1	読み一致		ミエルキョリハアルシュンカンニハメエトルフンゴニハキロニモドル	ミエルキョリハアルシュンカンニハメエトルフンゴニハキロニモドル	見える距離は、ある瞬間には0メートル。数分後には1キロに戻る。	見える距離はある瞬間にはゼロメートル、数分後には一キロに戻る。
c505-2	読み一致		ソシテマタホトンドミエナクナル	ソシテマタホトンドミエナクナル	そしてまた、ほとんど見えなくなる。	そしてまたほとんど見えなくなる。
c506-1	読み一致		クウコオハキマッタジコクニキショオノネヲダシテエル	クウコオハキマッタジコクニキショオノネヲダシテエル	空港は、決まった時刻に気象の値を出している。	空港は決まった時刻に気象の値を出している。
c506-2	読み一致		コノコロノヨビカタデトイウソノスウジヲジコクノジュンニナラベテミル	コノコロノヨビカタデトイウソノスウジヲジコクノジュンニナラベテミル	このころの呼び方で、QAMという。その数字を時刻の順に並べてみる。	この頃の呼び方でQAMという。その数字を時刻の順に並べてみる。
c507-1	読み一致		ジフンカッソオロノオエデミエルキョリハキロ	ジフンカッソオロノオエデミエルキョリハキロ	16時36分。滑走路の上で見える距離は、3キロ。	十六時三十六分。滑走路の上で見える距離は三キロ。
c507-2	読み一致		コノトキハマダトオクニキリガミエルトイウテエドダッタ	コノトキハマダトオクニキリガミエルトイウテエドダッタ	このときはまだ、遠くに霧が見える、という程度だった。	この時はまだ遠くに霧が見えるという程度だった。
c508-1	読みが違う	アイダ→マ	ジフンカッソオロノオエハキロカラキロノアイダニナッタ	ジフンカッソオロノオエハキロカラキロノマニナッタ	16時50分。滑走路の上は、2キロから3キロのあいだになった。	十六時五十分。滑走路の上は二キロから三キロの間になった。
c508-2	読み一致		コノコロニハシンニュウシテクルガワモオナジクライマデサガッテエル	コノコロニハシンニュウシテクルガワモオナジクライマデサガッテエル	このころには、進入してくる側も、同じくらいまで下がっている。	この頃には侵入してくる側も同じくらいまで下がっている。
c509-1	読み一致		ジフンカッソオロノオエデミエルキョリハキロニナッタ	ジフンカッソオロノオエデミエルキョリハキロニナッタ	16時55分。滑走路の上で見える距離は、1キロになった。	十六時五十五分、滑走路の上で見える距離は一キロになった。
c509-2	読み一致		ジフンカラフンデキロガキロニオチタコトニナル	ジフンカラフンデキロガキロニオチタコトニナル	16時36分から19分で、3キロが1キロに落ちたことになる。	16時36分から19分で3キロが1キロに落ちたことになる。
c510-1	読み一致		ジフンカッソオロノオエハメエトル	ジフンカッソオロノオエハメエトル	17時02分。滑走路の上は、300メートル。	十七時二分、滑走路の上は三百メートル
c510-2	読み一致		シンニュウノガワハメエトルデトキドキキロニモドル	シンニュウノガワハメエトルデトキドキキロニモドル	進入の側は500メートルで、ときどき5キロに戻る。	侵入の側は五百メートルで、時々五キロに戻る。
c510-3	読み一致		オナジクウコオノオナジジコクノスウジデアル	オナジクウコオノオナジジコクノスウジデアル	同じ空港の、同じ時刻の数字である。	同じ空港の同じ時刻の数字である。
c511-1	読みが違う	アイダ→カン	ブンノアイダニキロガメエトルニナッタブンノデアル	ブンノカンニキロガメエトルニナッタブンノデアル	26分のあいだに、3キロが300メートルになった。10分の1である。	二十六分の間に三キロが三百メートルになった。十分の一である。
c511-2	読みが違う	アイダ→カン	コノアイダキハマダチジョオデマッテエタ	コノカンキハマダチジョオデマッテエタ	このあいだ、二機はまだ地上で待っていた。	この間二機はまだ地上で待っていた。
c512-1	読み一致		オナジヒョオニハクモノリョオモカカレテエル	オナジヒョオニハクモノリョオモカカレテエル	同じ表には、雲の量も書かれている。	同じ表には雲の量も書かれている。
c512-2	読み一致		タカサメエトルツマリジメンニツイタクモハブンノカラブンノヘフエタ	タカサメエトルツマリジメンニツイタクモハブンノカラブンノヘフエタ	高さ0メートル、つまり地面についた雲は、8分の1から8分の7へ増えた。	高さゼロメートル、つまり地面についた雲は八分の一から八分の七へ増えた。
c513-1	読み一致		キオンハドロテンハドダッタ	キオンハドロテンハドダッタ	気温は14度、露点は13度だった。	気温は十四度、露点は十三度だった。
c513-2	読み一致		ロテントハクウキガヒエテミズノツブガデキハジメルオンドノコトデアル	ロテントハクウキガヒエテミズノツブガデキハジメルオンドノコトデアル	露点とは、空気が冷えて水の粒ができ始める温度のことである。	露点とは、空気が冷えて水の粒ができ始める温度のことである。
c513-3	読み一致		コノフタツノサガソノクウキガドレダケクモニチカイカヲアラワス	コノフタツノサガソノクウキガドレダケクモニチカイカヲアラワス	この二つの差が、その空気がどれだけ雲に近いかを表す。	この二つの差が、その空気がどれだけ雲に近いかを表す。
c514-1	読み一致		サガチイサイホドソノクウキハクモニカワリヤスイ	サガチイサイホドソノクウキハクモニカワリヤスイ	差が小さいほど、その空気は雲に変わりやすい。	差が小さいほど、その空気は雲に変わりやすい。
c514-2	読み一致		コノヒノサハドアトドヒエレバソノバデクモガデキル	コノヒノサハドアトドヒエレバソノバデクモガデキル	この日の差は、1度。あと1度冷えれば、その場で雲ができる。	この日の差は一度、あと一度冷えればその場で雲ができる。
c515-1	読み一致		コノクウコオハミエルキョリヲドオヤッテキメテエタノカ	コノクウコオハミエルキョリヲドオヤッテキメテエタノカ	この空港は、見える距離を、どうやって決めていたのか。	この空港は見える距離をどうやって決めていたのか。
c516-1	読み一致		トイウシクミガアルニホンゴデハカッソオロシキョリトイウ	トイウシクミガアルニホンゴデハカッソオロシキョリトイウ	RVRという仕組みがある。日本語では滑走路視距離という。	RVRという仕組みがある。日本語では滑走路視距離という。
c516-2	読み一致		カッソオロノワキニオイタキカイデミトオシヲハカッテスウジニスルモノデアル	カッソオロノワキニオイタキカイデミトオシヲハカッテスウジニスルモノデアル	滑走路の脇に置いた機械で、見通しを測って数字にするものである。	滑走路の脇に置いた機械で見通しを測って数字にするものである。
c517-1	読み一致		ロスロデオスクウコオデハコノネハダサレナイ	ロスロデオスクウコオデハコノネハダサレナイ	ロス・ロデオス空港では、この値は出されない。	ロスロデオス空港ではこの値は出されない。
