場面	一致率	送った文	聞こえた文	送信文
c320-1	1.000	色が変わったのは、タンクから漏れた水素と混ざったからだ。	色が変わったのはタンクから漏れた水素と混ざったからだ。	色が変わったのは、タンクから漏れた水素と混ざったからだ。
c320-2	0.690	タンクのいちばん下のふたが落ちた。	タンクの一番下の蓋が落ちた	タンクのいちばん下のふたが落ちた。
c320-3	0.918	噴き出した液体水素の反動で、タンクの下半分が上へ突き上げられる。	吹き出した液体水素の反動でタンクのしと半分が上へ突き上げられる。	噴き出した液体水素の反動で、タンクの下半分が上へ突き上げられる。
c321-1	0.926	突き上げられた下半分は、その上の継ぎ目の部分に食いこんだ。	突き上げられた島半分はその上の継ぎ目の部分に食い込んだ。	突き上げられた下半分は、その上の継ぎ目の部分に食いこんだ。
c321-2	0.897	同じころ、傾いた右の補助ロケットがタンクの上のほうにぶつかった。	同じ頃、傾いた右の補助ロケットがタンクの上の方にぶつかった。	同じころ、傾いた右の補助ロケットがタンクの上のほうにぶつかった。
c322-1	0.931	構造が壊れたのは、そのおよそ100分の1秒後、73.137秒である。	構造が壊れたのはそのおよそ百分の1秒後、七十三点一三七秒である。	構造が壊れたのは、そのおよそ100分の1秒後、73.137秒である。
c322-2	0.960	機体からの最後の信号が届いたのは、73.618秒だった。	機体からの最後の信号が届いたのは七十三点六十八秒だった。	機体からの最後の信号が届いたのは、73.618秒だった。
c401-1	0.848	この事故は、ふつう「爆発」と呼ばれている。	この事故は普通爆発と呼ばれている。	この事故は、ふつう「爆発」と呼ばれている。
c401-2	1.000	テレビで見た人の記憶にも、その言葉で残っている。	テレビで見た人の記憶にもその言葉で残っている。	テレビで見た人の記憶にも、その言葉で残っている。
c402-1	0.897	ただ、報告書の書き方はすこし違う。	ただ、報告書の書き方は少し違う。	ただ、報告書の書き方はすこし違う。
c402-2	1.000	起きたことを、三つの段階に分けて書いている。	起きたことを三つの段階に分けて書いている。	起きたことを、三つの段階に分けて書いている。
c403-1	1.000	一つ目。タンクから噴き出した水素が、いっぺんに燃えた。	一つ目。タンクから噴き出した水素がいっぺんに燃えた。	一つ目。タンクから噴き出した水素が、いっぺんに燃えた。
c403-2	1.000	報告書はこれを「爆発的な燃焼」と呼んでいる。	報告書はこれを爆発的な燃焼と呼んでいる。	報告書はこれを「爆発的な燃焼」と呼んでいる。
c404-1	1.000	ただし報告書は、こうも書いている。	ただし、報告書はこうも書いている。	ただし報告書は、こうも書いている。
c404-2	1.000	ほとんど爆発に近い燃え方だった、と。	ほとんど爆発に近い燃え方だったと	ほとんど爆発に近い燃え方だった、と。
c404-3	1.000	爆弾のような一瞬の破裂とは分けて書いている。	爆弾のような一瞬の破裂とは分けて書いている。	爆弾のような一瞬の破裂とは分けて書いている。
c405-1	1.000	二つ目。底が抜けたタンクは、その火の中で崩れていった。	二つ目。底が抜けたタンクはその火の中で崩れていった。	二つ目。底が抜けたタンクは、その火の中で崩れていった。
c405-2	1.000	このタンクは、三つの機体をつなぐ背骨にあたる部分だ。	このタンクは三つの機体をつなぐ背骨にあたる部分だ。	このタンクは、三つの機体をつなぐ背骨にあたる部分だ。
c406-1	0.931	このとき機体は、マッハ1.92。音の速さのおよそ2倍で飛んでいた。	この時、機体はマッハ一点九二。音の速さのおよそ二倍で飛んでいた。	このとき機体は、マッハ1.92。音の速さのおよそ2倍で飛んでいた。
c406-2	0.828	高さは、およそ1万4000メートルだ。	高さはおよそ1万4000mだ。	高さは、およそ1万4000メートルだ。
c407-1	0.957	音より速く飛ぶ機体にとって、空気は壁のように固い。	音より速く飛ぶ機体にとって空気は壁のように硬い。	音より速く飛ぶ機体にとって、空気は壁のように固い。
c407-2	0.955	背骨を失ったまま、その壁に突っこんだことになる。	背骨を失ったままその壁に突っ込んだことになる。	背骨を失ったまま、その壁に突っこんだことになる。
c408-1	0.870	三つ目。ここが、報告書がいちばん丁寧に書いたところだ。	三つ目。ここが報告書が一番丁寧に書いたところだ。	三つ目。ここが、報告書がいちばん丁寧に書いたところだ。
c408-2	1.000	本体は、火に焼かれて砕けたのではなかった。	本体は火に焼かれて砕けたのではなかった。	本体は、火に焼かれて砕けたのではなかった。
c408-3	0.750	本体は、空気の力でばらばらになった	本体は空気の力でバラバラになった。	本体は、空気の力でばらばらになった
c409-1	0.955	もっとも、「爆発ではない」と言い切るのも行きすぎだ。	もっとも爆発ではないと言い切るのも行き過ぎだ。	もっとも、「爆発ではない」と言い切るのも行きすぎだ。
c409-2	1.000	事故の直後、空軍の安全担当官は「機体が爆発した」と報告している。	事故の直後、空軍の安全担当官は機体が爆発したと報告している。	事故の直後、空軍の安全担当官は「機体が爆発した」と報告している。
c409-3	1.000	報告書は、その言葉をそのまま書き残している。	報告書はその言葉をそのまま書き残している。	報告書は、その言葉をそのまま書き残している。
c410-1	0.929	映像には、火の玉から出てくるいくつもの大きな塊が写っている。	映像には火の玉から出てくるいくつもの大きな塊が映っていた。	映像には、火の玉から出てくるいくつもの大きな塊が写っている。
c410-2	1.000	エンジンがまだ燃えている尾の部分、片方の翼、そして前の胴体。	エンジンがまだ燃えている尾の部分、片方の翼、そして前の胴体。	エンジンがまだ燃えている尾の部分、片方の翼、そして前の胴体。
c411-1	1.000	前の胴体は、引きちぎられた配管の束を引きずっていた。	前の胴体は引きちぎられた配管の束を引きずっていた。	前の胴体は、引きちぎられた配管の束を引きずっていた。
c411-2	0.947	回収された残骸も、この順番を裏づけている。	回収された残骸もこの順番を裏付けている。	回収された残骸も、この順番を裏づけている。
c412-1	0.941	2本の補助ロケットは、火の玉から飛び出して飛びつづけた。	二本の補助ロケットは火の玉から飛び出して飛び続けた。	2本の補助ロケットは、火の玉から飛び出して飛びつづけた。
c412-2	0.947	どちらも、燃えたままだ。	どちらも燃えたまま。	どちらも、燃えたままだ。
c413-1	0.900	補助ロケットには、あぶないときに外から壊すための火薬が積んである。	補助ロケットには危ない時に外から壊すための火薬が積んである。	補助ロケットには、あぶないときに外から壊すための火薬が積んである。
c413-2	0.945	打ち上げから110秒後、空軍の安全担当官が点火の指令を出した。	打ち上げから百十秒後、空軍の安全担当官が点火の指令を出した。	打ち上げから110秒後、空軍の安全担当官が点火の指令を出した。
c413-3	0.919	陸のほうへ飛んでいく恐れがあったためだ。	陸の方へ飛んでいく恐れがあったためだ。	陸のほうへ飛んでいく恐れがあったためだ。
c414-1	1.000	ここまでが、打ち上げから2分足らずで起きたことだ。	ここまでが打ち上げから二分足らずで起きたことだ。	ここまでが、打ち上げから2分足らずで起きたことだ。
c414-2	1.000	次に、なぜそうなったのかを見ていく。	次に、なぜそうなったのかを見ていく。	次に、なぜそうなったのかを見ていく。
c501-1	1.000	補助ロケットは、一本の筒ではない。	補助ロケットは一本の筒ではない。	補助ロケットは、一本の筒ではない。
c501-2	1.000	輪切りの筒を運び、現地で積み上げて作る。	輪切りの筒を運び、現地で積み上げて作る。	わぎりの筒を運び、現地で積み上げて作る。
c502-1	1.000	部品はユタ州の工場で作られ、鉄道でフロリダまで運ばれる。	部品はユタ州の工場で作られ、鉄道でフロリダまで運ばれる。	部品はユタ州の工場で作られ、鉄道でフロリダまで運ばれる。
c502-2	0.816	工場では、まず4つのかたまりに組む。燃料を流しこむ単位だ。	工場ではまず四つの塊に組む。燃料を流し込む単位と	工場では、まず4つのかたまりに組む。燃料を流しこむ単位だ。
c503-1	0.900	現地で組むと、筒と筒のあいだに継ぎ目ができる。	現地で組むと筒と筒の間に継ぎ目ができる。	現地で組むと、筒と筒のあいだに継ぎ目ができる。
c503-2	1.000	この継ぎ目が、1本の補助ロケットにつき3か所ある。	この継ぎ目が一本の補助ロケットにつき三か所ある。	この継ぎ目が、1本の補助ロケットにつき3か所ある。
c504-1	0.829	継ぎ目では、上の筒の下のはしが出っぱりになる。	つぎ目では上の筒の下の端が出っ張りになる。	継ぎ目では、上の筒の下のはしが出っぱりになる。
c504-2	0.769	下の筒の上のはしは、それをはさむ二またの形だ。	下の筒の上の端はそれを挟む二股の形だ。	下の筒の上のはしは、それをはさむ二またの形だ。
c504-3	0.914	二本の指で板をはさむ形だと思えばよい。	二本の指で板を挟む形だと思えばよい。	二本の指で板をはさむ形だと思えばよい。
c505-1	0.783	出っぱりと、はさむ側の内側には、わずかなすきまがある。	出っ張りと挟む側の内側にはわずかな隙間がある。	出っぱりと、はさむ側の内側には、わずかなすきまがある。
c505-2	0.826	このすきまの大きさで、ゴムの輪のつぶれ具合が決まる。	この隙間の大きさでゴムの輪の潰れ具合が決まる。	このすきまの大きさで、ゴムの輪のつぶれ具合が決まる。
c506-1	1.000	ゴムの輪は、太さ7ミリほど。	ゴムの輪は太さ七ミリほど。	ゴムの輪は、太さ7ミリほど。
c506-2	1.000	輪そのものの直径は、3メートルを超える。	輪そのものの直径は三メートルを超える。	輪そのものの直径は、3メートルを超える。
c506-3	0.962	出っぱりに掘られた溝にはまり、継ぎ目ごとに上下2本ある。	出っ張りに掘られた溝にはまり、継ぎ目ごとに上下二本ある。	出っぱりに掘られた溝にはまり、継ぎ目ごとに上下2本ある。
c507-1	0.864	燃えるガスに近いほうを一次、遠いほうを二次と呼ぶ。	燃えるガスに近い方を一次、遠い方を二次と呼ぶ。	燃えるガスに近いほうを一次、遠いほうを二次と呼ぶ。
c507-2	0.800	一次がだめなら、二次が受け持つという考えだ。	一事がダメなら二事が受け持つという考えだ	一次がだめなら、二次が受け持つという考えだ。
c507-3	1.000	二本あるから安全だ、という前提が置かれていた。	二本あるから安全だという前提が置かれていた。	二本あるから安全だ、という前提が置かれていた。
c508-1	0.870	組むとき、ガスが当たる側にパテという詰めものを塗る。	組む時、ガスが当たる側にパテという詰め物を塗る。	組むとき、ガスが当たる側にパテという詰めものを塗る。
c508-2	0.947	熱いガスをゴムの輪に直接あてないためだ。	熱いガスをゴムの輪に直接当てないためだ。	熱いガスをゴムの輪に直接あてないためだ。
c508-3	0.864	パテとゴムの輪のあいだには、空気が閉じこめられる。	パテとゴムの輪の間には空気が閉じ込められる。	パテとゴムの輪のあいだには、空気が閉じこめられる。
c509-1	1.000	このパテには、もう一つの役目があった。	このパテにはもう一つの役目があった。	このパテには、もう一つの役目があった。
c509-2	1.000	ガスの圧力でパテがへこみ、ピストンのようにその空気を押す。	ガスの圧力でパテがへこみ、ピストンのようにその空気を押す。	ガスの圧力でパテがへこみ、ピストンのようにその空気を押す。
c509-3	0.842	熱をさえぎり、圧力だけを送る道具でもあった。	靴を遮り、圧力だけを送る道具でもあった。	熱をさえぎり、圧力だけを送る道具でもあった。
c510-1	0.913	押しこまれた空気は溝へ回りこみ、輪を後ろから押す。	押し込まれた空気は溝へ回り込み、輪を後ろから押す。	押しこまれた空気は溝へ回りこみ、輪を後ろから押す。
c510-2	0.808	輪は溝から押し出されてすきまに食いこみ、ようやくふさがる。	輪は溝から押し出されて隙間に食い込み、ようやく塞がる。	輪は溝から押し出されてすきまに食いこみ、ようやくふさがる。
c511-1	0.833	ここが、この事故でいちばん大事なところだ。	ここがこの事故で一番大事なところだ。	ここが、この事故でいちばん大事なところだ。
c511-2	0.950	押しこまれた空気が来なければ、輪は動かない。	押し込まれた空気が来なければ輪は動かない。	押しこまれた空気が来なければ、輪は動かない。
c511-3	0.733	ゴムの輪は、押されてはじめてふさぐ	ゴムの輪は押されて初めて塞ぎ	ゴムの輪は、押されてはじめてふさぐ
c512-1	0.769	ここに、やっかいな事情が重なる。	ここに厄介な事情が重なる。	ここに、やっかいな事情が重なる。
c512-2	0.878	点火すると、内側の圧力で継ぎ目のすきまが開く。	点火すると内側の圧力で継ぎ目の隙間が開く。	点火すると、内側の圧力で継ぎ目のすきまが開く。
c512-3	0.800	ふさぐべき相手が、ふさごうとしているあいだに広がっていく。	塞ぐべき相手が塞ごうとしている間に広がっていく。	ふさぐべき相手が、ふさごうとしているあいだに広がっていく。
c513-1	0.691	すきまが開く量は、一次の輪で0.74ミリ、二次の輪で0.43ミリ。	隙間が開く量は一字の輪で0.74mm、二字の輪で0.43mm。	すきまが開く量は、一次の輪で0.74ミリ、二次の輪で0.43ミリ。
c513-2	0.850	点火の瞬間から開きはじめ、0.6秒で開ききる。	点火の瞬間から開き始め、零点六秒で開ききる。	点火の瞬間から開きはじめ、0.6秒で開ききる。
c514-1	0.846	ゴムの輪は、すきまが大きく開く前にふさがなければならない。	ゴムの輪は隙間が大きく開く前に塞がなければならない。	ゴムの輪は、すきまが大きく開く前にふさがなければならない。
c514-2	1.000	大きく開くのは、点火から0.1秒から0.2秒。まばたき一回ほどだ。	大きく開くのは点火から0.1秒から0.2秒、まばたき一回ほどだ。	大きく開くのは、点火から0.1秒から0.2秒。まばたき一回ほどだ。
c514-3	0.919	ふさぐのは、それより前でなければならない。	塞ぐのはそれより前でなければならない。	ふさぐのは、それより前でなければならない。
c515-1	1.000	ここで温度が効いてくる。	ここで温度が効いてくる。	ここで温度が効いてくる。
c515-2	0.902	つぶされたゴムが元の形に戻る速さは、温度でまるで変わる。	潰されたゴムな元の形に戻る速さは温度でまるで変わる。	つぶされたゴムが元の形に戻る速さは、温度でまるで変わる。
c515-3	0.903	冷えたゴムは、かたくなり戻りも遅い。	冷えたゴムは硬くなり、戻りも遅い。	冷えたゴムは、かたくなり戻りも遅い。
c516-1	1.000	報告書は、実験の結果をこう書いている。	報告書は実験の結果をこう書いている。	報告書は、実験の結果をこう書いている。
c516-2	0.939	摂氏24度の輪と、摂氏マイナス1度の輪をくらべている。	摂氏二十四度の輪と摂氏マイナス一度の輪を比べている。	摂氏24度の輪と、摂氏マイナス1度の輪をくらべている。
c516-3	0.950	温かいゴムの輪は、冷たい輪より5倍速く戻る	温かいゴムの輪は冷たい輪より五倍早く戻る。	温かいゴムの輪は、冷たい輪より5倍速く戻る
c517-1	0.936	輪がふくらんで戻れば、溝の中に空気の通り道ができる。	輪が膨らんで戻れば、溝の中に空気の通り道ができる。	輪がふくらんで戻れば、溝の中に空気の通り道ができる。
c517-2	0.872	すきまは開いていく。ゴムの輪は戻ろうとする。	隙間は開いていく。ゴムの輪は戻ろうとする。	すきまは開いていく。ゴムの輪は戻ろうとする。
c517-3	0.971	冷えた輪は、この追いかけっこに負ける。	冷えた輪はこの追いかけっことに負ける。	冷えた輪は、この追いかけっこに負ける。
c518-1	1.000	では、その日の継ぎ目は何度だったのか。	では、その日の継ぎ目は何度だったのか。	では、その日の継ぎ目は何度だったのか。
c518-2	0.889	壊れた継ぎ目のいちばん冷たい場所で、およそ摂氏マイナス2度。	壊れた継ぎ目の一番冷たい場所でおよそ摂氏マイナス二度	壊れた継ぎ目のいちばん冷たい場所で、およそ摂氏マイナス2度。
c518-3	0.947	上下に3度ほどの幅がある。摂氏2.2度の気温より、4度ほど低い。	上昇に三度ほどの幅がある。摂氏二点二度の気温より四度ほど低い	上下に3度ほどの幅がある。摂氏2.2度の気温より、4度ほど低い。
c519-1	0.963	同じ補助ロケットでも、太陽の当たる側は摂氏10度ほどあった。	同じ補助ロケットでも太陽の当たる側は摂氏十度ほどあった。	同じ補助ロケットでも、太陽の当たる側は摂氏10度ほどあった。
c519-2	0.833	壊れたのは、日かげになっていた側である。	壊れたのは日陰になっていたそばである。	壊れたのは、日かげになっていた側である。
c520-1	0.727	もう一つ。組み立てたときのすきまは、平均で0.1ミリ。	もう一つ、組み立てた時の隙間は平均で0.1mm。	もう一つ。組み立てたときのすきまは、平均で0.1ミリ。
c520-2	0.919	さっきの0.74ミリは、ここから開く量だ。	さっきの零点七四ミリはここから開く量だ	さっきの0.74ミリは、ここから開く量だ。
c520-3	0.857	何度も使ううちに筒がふくらみ、出っぱりとはさむ側が寄っていた。	何度も使ううちに筒が膨らみ、出っ張りと挟む側が寄っていた。	何度も使ううちに筒がふくらみ、出っぱりとはさむ側が寄っていた。
c521-1	0.732	はじめのすきまが狭いと、輪は溝の中でつぶれきる。	初めの隙間が狭いと、輪は溝の中で潰れきる。	はじめのすきまが狭いと、輪は溝の中でつぶれきる。
c521-2	0.944	委員会は、その試験結果をこう書いている。	委員会はその試験結果をこう書いていた。	委員会は、その試験結果をこう書いている。
c521-3	0.793	すきま0.1ミリで、ゴムの輪が確実にふさいだのは摂氏12.8度から	隙間0.1mmでゴムの輪が確実に塞いだのは摂氏12.8度から。	すきま0.1ミリで、ゴムの輪が確実にふさいだのは摂氏12.8度から
c522-1	0.800	ところが冷えた輪は、つぶれたまま戻れない。	心が冷えた輪は潰れたまま戻れない。	ところが冷えた輪は、つぶれたまま戻れない。
c522-2	0.791	溝に貼りつき、すきまへ押し出されないままになる。	溝に張り付き、隙間へ押し出されないままになる。	溝に貼りつき、すきまへ押し出されないままになる。
c522-3	0.945	冷たさが、狭さから抜け出す道をふさいだ。それが報告書の答えだ。	冷たさが狭さから抜け出す道を塞いだ。それが報告書の答えだ。	冷たさが、狭さから抜け出す道をふさいだ。それが報告書の答えだ。
c601-1	1.000	1月27日の夜、三つの場所を電話でつないだ会議が開かれた。	一月二十七日の夜、三つの場所を電話でつないだ会議が開かれた。	1月27日の夜、三つの場所を電話でつないだ会議が開かれた。
c601-2	1.000	議題は一つ。翌朝の寒さで飛んでよいか。	議題は一つ。翌朝の寒さで飛んでよいか。	議題は一つ。翌朝の寒さで飛んでよいか。
c602-1	1.000	一つはフロリダのケネディ宇宙センター。	一つはフロリダのケネディ宇宙センター。	一つはフロリダのケネディ宇宙センター。
c602-2	1.000	一つはアラバマのマーシャル宇宙飛行センター。	一つはアラバマのマーシャル宇宙飛行センター。	一つはアラバマのマーシャル宇宙飛行センター。
c602-3	1.000	もう一つが、ユタ州の補助ロケットの工場。	もう一つがユタ州の補助ロケットの工場。	もう一つが、ユタ州の補助ロケットの工場。
c603-1	1.000	呼びかけたのは、補助ロケットを作った側だった。	呼びかけたのは補助ロケットを作った側だった。	呼びかけたのは、補助ロケットを作った側だった。
c603-2	1.000	寒さがゴムの輪にどう効くかを心配していた。	寒さがゴムの輪にどう効くかを心配していた。	寒さがゴムの輪にどう効くかを心配していた。
c603-3	0.957	最初の電話は午後5時45分。もう延期を勧めている。	最初の電話は午後五時四十五分。もう延期を進めている。	最初の電話は午後5時45分。もう延期を勧めている。
c604-1	0.923	二度目の電話は、午後8時45分にはじまった。	二度目の電話は午後八時四十五分に始まった。	二度目の電話は、午後8時45分にはじまった。
c604-2	1.000	技術者たちが資料を順に説明した。	技術者たちが資料を順に説明した。	技術者たちが資料を順に説明した。
c604-3	1.000	その場で作りながら送ったので、手書きの紙が混じっていた。	その場で作りながら送ったので手書きの紙が混じっていた。	その場で作りながら送ったので、手書きの紙が混じっていた。
c605-1	1.000	根拠は、1年前の1985年1月の飛行だった。	根拠は一年前の 1985年1月の飛行だった。	根拠は、1年前の1985年1月の飛行だった。
c605-2	0.914	そのとき継ぎ目のゴムが経験した温度は、	その時、継ぎ目のゴムが経験した温度は	そのとき継ぎ目のゴムが経験した温度は、
c605-3	0.750	これまででいちばん低かった。	これまでで一番低かった。	これまででいちばん低かった。
c606-1	0.875	その飛行では、継ぎ目の黒い跡が円周の110度ぶんあった。	その飛行では継ぎ目の黒い跡が円周の百十度分あった。	その飛行では、継ぎ目の黒い跡が円周の110度ぶんあった。
c606-2	0.962	同じ年10月の、暖かい日の飛行にも跡はあったが、範囲は狭い。	同じ年十月の暖かい日の飛行にも跡はあったが、範囲は狭い。	同じ年10月の、暖かい日の飛行にも跡はあったが、範囲は狭い。
c606-3	1.000	暖かい日にも跡が出るなら温度のせいではない、とNASA側は返した。	暖かい日にも跡が出るなら温度のせいではないとNASA側は返した。	暖かい日にも跡が出るなら温度のせいではない、とNASA側は返した。
c607-1	1.000	技術部門の副社長が、みんなの結論を紙にして出した。	技術部門の副社長がみんなの結論を紙にして出した。	技術部門の副社長が、みんなの結論を紙にして出した。
c607-2	1.000	自分たちの持つデータの外側で飛ばすべきではない。	自分たちの持つデータの外側で飛ばすべきではない。	自分たちの持つデータの外側で飛ばすべきではない。
c607-3	0.950	継ぎ目が摂氏11.7度より下では飛ばせない	継ぎ目が摂氏十一点七度より下では飛ばせない。	継ぎ目が摂氏11.7度より下では飛ばせない
c608-1	0.909	11.7度、華氏でいえば53度。摂氏に直した数字だ。	11.7度。華氏で言えば53度。摂氏に直した数値だ。	11.7度、華氏でいえば53度。摂氏に直した数字だ。
c608-2	0.800	これまででいちばん低かった飛行の、継ぎ目の温度だ。	これまでで一番低かった飛行の継ぎ目の温度です。	これまででいちばん低かった飛行の、継ぎ目の温度だ。
c608-3	0.900	そこから外へ出るな、というのが技術者の線だ。	そこから外へ出るなというのが技術者の選択	そこから外へ出るな、というのが技術者の線だ。
c609-1	1.000	その夜届いていた翌朝の予報は、摂氏で氷点下3度。	その夜、届いていた翌朝の予報は摂氏で氷点下三度	その夜届いていた翌朝の予報は、摂氏で氷点下3度。
c609-2	0.909	継ぎ目は気温よりさらに冷えるから、線のはるか下だ。	次目は気温よりさらに冷えるから、千のはるか下だ。	つぎめは気温よりさらに冷えるから、線のはるか下だ。
c610-1	1.000	この時点まで、打ち上げに賛成する発言は一つも出ていない。	この時点まで打ち上げに賛成する発言は一つも出ていない。	この時点まで、打ち上げに賛成する発言は一つも出ていない。
c610-2	0.880	反対しつづけた技術者が、のちに委員会でそう証言している。	反対し続けた技術者が後に委員会でそう証言している。	反対しつづけた技術者が、のちに委員会でそう証言している。
c611-1	1.000	会社としてどうするのかを、NASA側が問いただした。	会社としてどうするのかをNASA側が問いただした。	会社としてどうするのかを、NASA側が問いただした。
c611-2	1.000	作った会社の責任者も、打ち上げない、と答えている。	作った会社の責任者も打ち上げないと答えている。	作った会社の責任者も、打ち上げない、と答えている。
c611-3	0.957	技術部門が勧めないから、というのがその理由である。	技術部門が進めないからというのがその理由である。	技術部門が勧めないから、というのがその理由である。
c612-1	1.000	本来なら、ここで打ち上げは延期になるはずだった。	本来ならここで打ち上げは延期になるはずだった。	本来なら、ここで打ち上げは延期になるはずだった。
c612-2	1.000	ところが、NASA側の反応は違った。	ところが、NASA側の反応は違った。	ところが、NASA側の反応は違った。
c613-1	1.000	マーシャル宇宙飛行センターにいた、	マーシャル宇宙飛行センターにいた	マーシャル宇宙飛行センターにいた、
c613-2	1.000	NASAで補助ロケットを見ていた部長が、	NASAで補助ロケットを見ていた部長が	NASAで補助ロケットを見ていた部長が、
c613-3	1.000	その勧告を聞いて、その場で強い言葉を返した。	その勧告を聞いて、その場で強い言葉を返した。	その勧告を聞いて、その場で強い言葉を返した。
c614-1	1.000	その一言は、作った側が出した勧告に向けられていた。	その一言は作った側が出した勧告に向けられていた。	その一言は、作った側が出した勧告に向けられていた。
c614-2	0.889	会議に出ていた人たちが、のちに委員会でそろって証言している。	会議に出ていた人たちが後に委員会で揃って証言している。	会議に出ていた人たちが、のちに委員会でそろって証言している。
c614-3	0.667	あなたがたの勧告には、あきれている	あなた方の韓国には呆れている。	あなたがたの勧告には、あきれている
c615-1	1.000	この発言を、別の出席者も覚えていた。	この発言を別の出席者も覚えていた。	この発言を、別の出席者も覚えていた。
c615-2	0.955	一度ではなく、何度もくり返された、と証言している。	一度ではなく何度も繰り返されたと証言している。	一度ではなく、何度もくり返された、と証言している。
c615-3	1.000	言われた側は、その場の空気が変わったと感じている。	言われた側はその場の空気が変わったと感じている。	言われた側は、その場の空気が変わったと感じている。
c616-1	0.941	ただし、あきれていると言ったその部長は、こうも言っている。	ただし、呆れていると言ったその部長はこうも言っている。	ただし、あきれていると言ったその部長は、こうも言っている。
c616-2	0.968	作った会社が勧めないなら、自分はそれに逆らって打ち上げはしない、と。	作った会社が進めないなら、自分はそれに逆らって打ち上げはしないと。	作った会社が勧めないなら、自分はそれに逆らって打ち上げはしない、と。
c617-1	1.000	もう一人は、NASAで補助ロケットの計画を率いていた責任者である。	もう一人はNASAで補助ロケットの計画を率いていた責任者である。	もう一人は、NASAで補助ロケットの計画を率いていた責任者である。
c617-2	0.909	言い分は、新しい基準を今夜になって作るのか、というものである。	B文は新しい基準を今夜になって作るのかというものである。	言い分は、新しい基準を今夜になって作るのか、というものである。
c617-3	1.000	打ち上げの前の晩に、という点を強く言っている。	打ち上げの前の晩にという点を強く言っている。	打ち上げの前の晩に、という点を強く言っている。
c618-1	0.943	これまで24回、いまの基準のままで打ち上げに成功してきた。	これまで二十四回、今の基準のままで打ち上げに成功してきた。	これまで24回、いまの基準のままで打ち上げに成功してきた。
c618-2	0.889	25回目の前の晩になって、基準を作りかえるのか、と。	二十五回目の前の番になって基準を作り変えるのか。	25回目の前の晩になって、基準を作りかえるのか、と。
c619-1	0.957	もし摂氏11.7度を基準にしてしまうと、どうなるか。	もし摂氏十一点七度を基準にしてしまうとどうなるか？	もし摂氏11.7度を基準にしてしまうと、どうなるか。
c619-2	1.000	次に飛ばせるのは、何か月も先になるかもしれない。	次に飛ばせるのは何か月も先になるかもしれない。	次に飛ばせるのは、何か月も先になるかもしれない。
c619-3	1.000	つまり、計画そのものが止まるという話になる。	つまり計画そのものが止まるという話になる。	つまり、計画そのものが止まるという話になる。
c620-1	0.829	会議がはじまってから、2時間近くがたっていた。	会談が始まってから二時間近くが経っていた。	会議がはじまってから、2時間近くがたっていた。
c620-2	0.977	三つの場所をつないだまま、押し問答が続いていた。	つの場所をつないだまま押し問答が続いていた。	三つの場所をつないだまま、押し問答が続いていた。
c621-1	1.000	この言い分は、一つの短い言葉としても伝わっている。	この言い分は一つの短い言葉としても伝わっている。	この言い分は、一つの短い言葉としても伝わっている。
c621-2	0.951	切り取られた引用だと断ったうえで、その責任者が委員会で読み上げた。	切り取られた引用だと断った上で、その責任者が委員会で読み上げた。	切り取られた引用だと断ったうえで、その責任者が委員会で読み上げた。
c622-1	0.903	なんてことだ、とその言葉ははじまる。	なんてことだ、とその言葉は始まる。	なんてことだ、とその言葉ははじまる。
c622-2	1.000	作った会社の名を呼んでの、一言だった。	作った会社の名を呼んでの一言だった。	作った会社の名を呼んでの、一言だった。
c622-3	1.000	いつ打ち上げろというのか。来年の4月か	いつ打ち上げろというのか。来年の四月か。	いつ打ち上げろというのか。来年の4月か
c701-1	0.939	押し問答のあと、作った会社の側が5分間の中断を求めた。	押し問答の後、作った会社の側が五分間の中断を求めた。	押し問答のあと、作った会社の側が5分間の中断を求めた。
c701-2	1.000	電話の音を消し、ユタ州の会議室だけで話し合うためだ。	電話の音を消し、ユタ州の会議室だけで話し合うためだ。	電話の音を消し、ユタ州の会議室だけで話し合うためだ。
c702-1	0.846	中断は、結局30分ほどつづいた。	中断は結局三十分ほど続いた。	中断は、結局30分ほどつづいた。
c702-2	0.844	そのあいだ、三つの場所はたがいに何も聞こえなかった。	その間、三つの場所は互いに何も聞こえなかった。	そのあいだ、三つの場所はたがいに何も聞こえなかった。
c703-1	0.960	部屋の中で何が起きたかは、出席者の証言で分かっている。	部屋の中で何が起きたかは出席者の証言でわかっている。	部屋の中で何が起きたかは、出席者の証言で分かっている。
c703-2	1.000	まず、会社の上級副社長が、経営としての判断が必要だ、と切り出した。	まず会社の上級副社長が経営としての判断が必要だ、と切り出した。	まず、会社の上級副社長が、経営としての判断が必要だ、と切り出した。
c704-1	0.850	技術者のうち2人は、そのあとも反対しつづけた。	技術者のうち二人はその後も反対し続けた。	技術者のうち2人は、そのあとも反対しつづけた。
c704-2	0.960	なぜ結論がひっくり返るのか、分からなかったからである。	なぜ結論がひっくり返るのかわからなかったからである。	なぜ結論がひっくり返るのか、分からなかったからである。
c705-1	0.945	1人は席を立ち、机の上に紙を広げて継ぎ目の絵を描きなおした。	一人は席を立ち、机の上に紙を広げて継ぎ目の絵を描き直した。	1人は席を立ち、机の上に紙を広げて継ぎ目の絵を描きなおした。
c705-2	1.000	もう1人は、焼けた継ぎ目の写真を持って前に出た。	もう一人は焼けた継ぎ目の写真を持って前に出た。	もう1人は、焼けた継ぎ目の写真を持って前に出た。
