行ID	話者	文	音声記号列	読み	出どころ
c321-2		左旋回の傾きを保つため、操縦桿をいつも右へ押さえていたとみられる。	ひだりせ'んかいの/かたむきを/たも'つため、そーじゅ'ーかんを/い'つも/みぎえ/おさ'えていたと/みられ'る。	ひだりせんかいのかたむきをたもつため、そーじゅーかんをいつもみぎえおさえていたとみられる。	auto
c321-3		その押さえがくずれ、機体は一瞬左へ傾いた、とする。	その/おさえ'が/くず'れ、きたいわ/いっしゅん/ひだりえ/かたむ'いた、とする。	そのおさえがくずれ、きたいわいっしゅんひだりえかたむいた、とする。	auto
c322-1	q	どっちが正しいの？	ど'っちが/ただし'いの？	どっちがただしいの？	auto
c322-2		報告書は、決めていない。ただ、その先は同じだとする。	ほーこくしょわ、きめていな'い。た'だ、その/さきわ/おなじだ'とする。	ほーこくしょわ、きめていない。ただ、そのさきわおなじだとする。	auto
c322-3		左の板が昇降舵を押し下げる力が消え、昇降舵がはね上がって、機首が上がった。	ひだりの/い'たが/しょーこ'ーだを/おしさげ'る/ちから'が/きえ、しょーこ'ーだが/はねあが'って、き'しゅが/あがった'。	ひだりのいたがしょーこーだをおしさげるちからがきえ、しょーこーだがはねあがって、きしゅがあがった。	auto
c323-1		突風や、板の角度が勝手に変わり続ける故障は、きっかけとは考えにくいとされた。	とっぷーや、い'たの/か'くどが/かってに/かわりつずける/こしょーわ、きっかけと'わ/かんがえにくいとされた'。	とっぷーや、いたのかくどがかってにかわりつずけるこしょーわ、きっかけとわかんがえにくいとされた。	auto
c323-2		風は比較的安定し、板は電気でゆっくりしか動かないからだ。	かぜわ/ひかくてき/あんてー/し、い'たわ/で'んきで/ゆっく'りしか/うごか'ないからだ。	かぜわひかくてきあんてーし、いたわでんきでゆっくりしかうごかないからだ。	auto
c324-1		では、2つ目の問い。なぜ、板は震えたのか。	で'わ、ふたつめの/とい。な'ぜ、い'たわ/ふるえた'のか。	でわ、ふたつめのとい。なぜ、いたわふるえたのか。	auto
c324-2	q	どこから探すの？	ど'こから/さがす'の？	どこからさがすの？	auto
c324-3		この機体の66年を、さかのぼる。話は、1944年から始まる。	この/きたいの/ろくじゅーろく'ねんを、さかのぼ'る。はなし'わ、せんきゅーひゃくよんじゅーよ'ねんから/はじまる。	このきたいのろくじゅーろくねんを、さかのぼる。はなしわ、せんきゅーひゃくよんじゅーよねんからはじまる。	auto
c401-1		事故機の名前は、ザ・ギャロッピング・ゴースト。レースの番号は177。	じこ'きの/なまえわ、ざ'/ぎゃ'ろっぴんぐ/ご'ーすと。れ'ーすの/ばんご'ーわ/ひゃくななじゅ'ーなな。	じこきのなまえわ、ざぎゃろっぴんぐごーすと。れーすのばんごーわひゃくななじゅーなな。	auto
c401-2		生まれは、第二次世界大戦のさなかだ。	うまれわ、だ'いにじせかいたいせんのさなかだ。	うまれわ、だいにじせかいたいせんのさなかだ。	auto
c402-1		P-51は、遠くまで飛べる軍の戦闘機として作られた。	ぴ'ー/ごじゅ'ーいちわ、とーく'まで/とべる/ぐ'んの/せんと'ーきとして/つくられた'。	ぴーごじゅーいちわ、とーくまでとべるぐんのせんとーきとしてつくられた。	auto
c402-2		そのD型が作られ始めたのは、1944年4月。	その/でぃーがたが/つくられはじ'めたのわ、せんきゅーひゃくよんじゅーよ'ねん/しがつ'。	そのでぃーがたがつくられはじめたのわ、せんきゅーひゃくよんじゅーよねんしがつ。	auto
c403-1		報告書は、この機体が陸軍航空軍に引き渡された日を記している。	ほーこくしょわ、この/きたいが/りくぐんこーく'ーぐんに/ひきわたされた'ひを/しるしている'。	ほーこくしょわ、このきたいがりくぐんこーくーぐんにひきわたされたひをしるしている。	auto
c403-2		事故機の納入は、1944年12月23日	じこ'きの/のーにゅーわ、せんきゅーひゃくよんじゅーよ'ねん/じゅーにがつ'/にじゅーさ'んにち。	じこきののーにゅーわ、せんきゅーひゃくよんじゅーよねんじゅーにがつにじゅーさんにち。	auto
c404-1	q	つまり、戦争のころの機体？	つ'まり、せんそーのこ'ろの/きたい？	つまり、せんそーのころのきたい？	auto
c404-2		そう。戦争が終わり、1946年7月には、余った機体として売られた。	そー。せんそーが/おわり、せんきゅーひゃくよんじゅーろく'ねん/しちがつ'にわ、あま'った/きたいとして/うられた'。	そー。せんそーがおわり、せんきゅーひゃくよんじゅーろくねんしちがつにわ、あまったきたいとしてうられた。	auto
c405-1		1969年から1982年まで、この機体はリノのレースを走った。	せんきゅーひゃくろくじゅーきゅ'ーねんから/せんきゅーひゃくはちじゅーに'ねんまで、この/きたいわ/り'のの/れ'ーすを/はし'った。	せんきゅーひゃくろくじゅーきゅーねんからせんきゅーひゃくはちじゅーにねんまで、このきたいわりののれーすをはしった。	auto
c405-2		番号は69。名前は、ミス・キャンディス、そしてジーニー。	ばんご'ーわ/ろくじゅーきゅ'ー。なまえわ、み'す/きゃ'ん/でぃ'す、そして/じ'ーにー。	ばんごーわろくじゅーきゅー。なまえわ、みすきゃんでぃす、そしてじーにー。	auto
c406-1		レースのための改造も、いろいろ重ねられた。	れ'ーすのための/かいぞーも、いろいろ/かさねら'れた。	れーすのためのかいぞーも、いろいろかさねられた。	auto
c407-1		1970年の写真には、壊れたあとの姿も残っている。	せんきゅーひゃくななじゅ'ーねんの/しゃしんに'わ、こわれた'あとの/す'がたも/のこ'っている。	せんきゅーひゃくななじゅーねんのしゃしんにわ、こわれたあとのすがたものこっている。	auto
c407-2		調査の記録では、その年のレース中、エンジン不調で砂漠に胴体着陸した。	ちょ'ーさの/きろくで'わ、その/とし'の/れーすちゅー、え'んじん/ふちょーで/さばくに/どーたいちゃ'くりくした。	ちょーさのきろくでわ、そのとしのれーすちゅー、えんじんふちょーでさばくにどーたいちゃくりくした。	auto
c408-1		1983年7月。この機体は、ジェームズ・リーワードの手に渡った。	せんきゅーひゃくはちじゅーさ'んねん/しちがつ'。この/きたいわ、じぇ'ーむず/りーわ'ーどの/て'に/わたった'。	せんきゅーひゃくはちじゅーさんねんしちがつ。このきたいわ、じぇーむずりーわーどのてにわたった。	auto
c408-2		翌月には、ふつうの機体とは別の「実験機」として、FAAの許可を受けている。	よくげつに'わ、ふつーの/きたいと'わ/べつの/じっけ'んきとして、えふえーえ'ーの/きょ'かを/う'けている。	よくげつにわ、ふつーのきたいとわべつのじっけんきとして、えふえーえーのきょかをうけている。	auto
c409-1		許可の名前は「特別耐空証明」。レースと展示のために飛べる、という中身だ。	きょ'かの/なまえわ/とくべつたいくーしょーめー。れ'ーすと/てんじのため'に/とべる、と/いう/なか'みだ。	きょかのなまえわとくべつたいくーしょーめー。れーすとてんじのためにとべる、というなかみだ。	auto
c410-1		1983年から1989年まで、パイロットはこの機体でリノを走った。	せんきゅーひゃくはちじゅーさ'んねんから/せんきゅーひゃくはちじゅーきゅ'ーねんまで、ぱ'いろっとわ/この/きたいで/り'のを/はし'った。	せんきゅーひゃくはちじゅーさんねんからせんきゅーひゃくはちじゅーきゅーねんまで、ぱいろっとわこのきたいでりのをはしった。	auto
c410-2		レースの番号と名前も、途中で変わった。	れ'ーすの/ばんご'ーと/なまえも、とちゅーで/かわった'。	れーすのばんごーとなまえも、とちゅーでかわった。	auto
c411-1		1989年のレースを最後に、機体はしまい込まれた。	せんきゅーひゃくはちじゅーきゅ'ーねんの/れ'ーすを/さ'いごに、きたいわ/しまいこまれた'。	せんきゅーひゃくはちじゅーきゅーねんのれーすをさいごに、きたいわしまいこまれた。	auto
c411-2		保管から出されたのは、2007年。18年後だった。	ほかんから'/だされた'のわ、にせんなな'ねん。じゅーはちねんご'だった。	ほかんからだされたのわ、にせんななねん。じゅーはちねんごだった。	auto
c412-1	q	つまり、長いあいだ眠っていた？	つ'まり、なが'い/あいだ/ねむっていた'？	つまり、ながいあいだねむっていた？	auto
c412-2		そう。2007年から2009年、アリゾナ、テキサス、ネバダで分解整備と改造。	そー。にせんなな'ねんから/にせんきゅ'ーねん、ありぞな、て'きさす、ね'ばだで/ぶんかいせ'ーびと/かいぞー。	そー。にせんななねんからにせんきゅーねん、ありぞな、てきさす、ねばだでぶんかいせーびとかいぞー。	auto
c413-1		2009年の秋、ネバダ州ミンデンで、事故の日の姿ができあがった。	にせんきゅ'ーねんの/あ'き、ねばだ'しゅー/み'んでんで、じこの'ひの/す'がたが/できあが'った。	にせんきゅーねんのあき、ねばだしゅーみんでんで、じこのひのすがたができあがった。	auto
c413-2		レースに出ないあいだ、機体はミンデンに置かれていた。	れ'ーすに/で'ない/あいだ、きたいわ/み'んでんに/おかれていた'。	れーすにでないあいだ、きたいわみんでんにおかれていた。	auto
c414-1		エンジンは、レース用に手を入れたロールス・ロイスのマーリン。	え'んじんわ、れーすよーに/て'を/いれた'/ろ'ーるす/ろ'いすの/ま'ーりん。	えんじんわ、れーすよーにてをいれたろーるすろいすのまーりん。	auto
c414-2		プロペラは、手を加えていないものだった。	ぷろぺらわ、て'を/くわえていな'いものだった。	ぷろぺらわ、てをくわえていないものだった。	auto
c415-1	q	どれくらい飛んだ機体なの？	ど'れくらい/とんだ'/きたいな'の？	どれくらいとんだきたいなの？	auto
c415-2		記録簿では、2011年7月までの飛行時間は、合わせて約1,453時間。	きろく'ぼでわ、にせんじゅーいち'ねん/しちがつ'までの/ひこーじ'かんわ、あわ'せて/や'くせんよんひゃくごじゅーさんじかん。	きろくぼでわ、にせんじゅーいちねんしちがつまでのひこーじかんわ、あわせてやくせんよんひゃくごじゅーさんじかん。	auto
c415-3		この数字は、あとの章で大事になる。	この/すーじわ、あ'との/しょ'ーで/だいじ'に/な'る。	このすーじわ、あとのしょーでだいじになる。	auto
c416-1		2010年、事故機はリノに戻ってきた。	にせんじゅ'ーねん、じこ'きわ/り'のに/もど'ってきた。	にせんじゅーねん、じこきわりのにもどってきた。	auto
c416-2		この機体でのリノは、21年ぶりだった。	この/きたいで'の/り'のわ、にじゅーいちねんぶりだ'った。	このきたいでのりのわ、にじゅーいちねんぶりだった。	auto
c417-1		整備の仲間によると、2009年から事故の日まで、操縦したのはパイロット1人だけ。	せ'ーびの/なかま'によると、にせんきゅ'ーねんから/じこの'ひまで、そーじゅーした'のわ/ぱ'いろっと/ひと'りだけ。	せーびのなかまによると、にせんきゅーねんからじこのひまで、そーじゅーしたのわぱいろっとひとりだけ。	auto
c418-1		古い車やバイクを直して、また走らせる。そんな楽しみを知る人もいるだろう。	ふる'い/くるまや/ば'いくを/なお'して、また/はしらせ'る。そんな/たのし'みを/しる/ひとも/いるだ'ろー。	ふるいくるまやばいくをなおして、またはしらせる。そんなたのしみをしるひともいるだろー。	auto
c418-2		動いているあいだは、大丈夫に見える。でも、見えない所で傷むものもある。	うご'いている/あいだわ、だいじょ'ーぶに/みえ'る。で'も、みえ'ないところで/いた'むものも/あ'る。	うごいているあいだわ、だいじょーぶにみえる。でも、みえないところでいたむものもある。	auto
c418-3	q	動いていても、安心とは限らない？	うご'いていても、あんしんと'わ/かぎら'ない？	うごいていても、あんしんとわかぎらない？	auto
c419-1		そう。この機体も、事故の日の朝、ピットで午後のレースを待っていた。	そー。この/きたいも、じこの'ひの/あ'さ、ぴ'っとで/ご'ごの/れ'ーすを/ま'っていた。	そー。このきたいも、じこのひのあさ、ぴっとでごごのれーすをまっていた。	auto
c419-2		機首には、ザ・ギャロッピング・ゴーストの文字。	き'しゅにわ、ざ'/ぎゃ'ろっぴんぐ/ご'ーすとの/も'じ。	きしゅにわ、ざぎゃろっぴんぐごーすとのもじ。	auto
c420-1		調査は、残骸と写真、聞き取りから、改造を1つずつ見つけ出した。	ちょ'ーさわ、ざんがいと/しゃしん、ききとりから'、かいぞーを/ひとつず'つ/みつけだ'した。	ちょーさわ、ざんがいとしゃしん、ききとりから、かいぞーをひとつずつみつけだした。	auto
c420-2		次の章で、それを見ていく。	つぎ'の/しょ'ーで、それを/み'ていく。	つぎのしょーで、それをみていく。	auto
c501-1		報告書の図2。事故機の姿に、ふつうのP-51Dの寸法を赤で重ねてある。	ほーこくしょの/ず'/に'。じこ'きの/す'がたに、ふつーの/ぴ'ー/ごじゅ'ーいちでぃーの/すんぽーを/あ'かで/かさねてあ'る。	ほーこくしょのずに。じこきのすがたに、ふつーのぴーごじゅーいちでぃーのすんぽーをあかでかさねてある。	auto
c502-1	q	どこが、いちばん違うの？	ど'こが、いちばん/ちがう'の？	どこが、いちばんちがうの？	auto
c502-2		翼の幅。ふつうは約11.3メートル（37フィート）、事故機は約8.8メートル。	つばさの/はば。ふつーわ/やくじゅーいってんさんめ'ーとる、さんじゅーななふぃ'ーと、じこ'きわ/や'く/はってんはちめ'ーとる。	つばさのはば。ふつーわやくじゅーいってんさんめーとる、さんじゅーななふぃーと、じこきわやくはってんはちめーとる。	auto
c502-3		2011年に走った改造P-51Dの中で、いちばん短い翼だった。	にせんじゅーいち'ねんに/はし'った/かいぞー/ぴ'ー/ごじゅ'ーいちでぃーのなかで、いち'ばん/みじか'い/つばさだ'った。	にせんじゅーいちねんにはしったかいぞーぴーごじゅーいちでぃーのなかで、いちばんみじかいつばさだった。	auto
c503-1	q	ずいぶん短いね。	ず'いぶん/みじか'いね。	ずいぶんみじかいね。	auto
c503-2		傾きを操る補助翼も、ふつうの半分より短く。	かたむきを/あやつ'る/ほじょ'よくも、ふつーの/はんぶ'んより/みじか'く。	かたむきをあやつるほじょよくも、ふつーのはんぶんよりみじかく。	auto
c503-3		水平尾翼の幅も、縮めてあった。	すいへーび'よくの/はばも、ちじめてあ'った。	すいへーびよくのはばも、ちじめてあった。	auto
c504-1		操縦席の覆いは、前から見た面積の小さい、レース用のものに替えてあった。	そーじゅ'ーせきの/おーいわ、ま'えから/み'た/め'んせきの/ちーさ'い、れーすよーのもの'に/かえてあ'った。	そーじゅーせきのおーいわ、まえからみためんせきのちーさい、れーすよーのものにかえてあった。	auto
c504-2		胴体の下の空気の取り入れ口も外し、なめらかな形でふさいでいた。	ど'ーたいの/したの/く'ーきの/とりいれぐちも/はずし、なめ'らかな/かたちで/ふさいでいた'。	どーたいのしたのくーきのとりいれぐちもはずし、なめらかなかたちでふさいでいた。	auto
c505-1		冷やす仕組みも独自だ。放熱器を水とメタノールの液に沈め、沸かして外へ逃がす。	ひや'す/しくみも/ど'くじだ。ほーねつ'きを/みずと/めたの'ーるの/え'きに/しずめ、わかして/そ'とえ/にが'す。	ひやすしくみもどくじだ。ほーねつきをみずとめたのーるのえきにしずめ、わかしてそとえにがす。	auto
c506-1	q	なぜ、そんな改造を？	な'ぜ、そんな/かいぞーを？	なぜ、そんなかいぞーを？	auto
c506-2		報告書は、「たぶん、速くするため」と書く。そのうえで、こうも書く。	ほーこくしょわ、た'ぶん、はや'くするためと/か'く。そのうえ'で、こ'ーも/か'く。	ほーこくしょわ、たぶん、はやくするためとかく。そのうえで、こーもかく。	auto
c506-3		多くの改造の理由は、確かめられなかった	お'ーくの/かいぞーの/りゆーわ、たしかめられ'なかった。	おーくのかいぞーのりゆーわ、たしかめられなかった。	auto
c507-1		家族も整備の仲間も、改造の図面や計算、裏づけの資料を知らなかった。	か'ぞくも/せ'ーびの/なかま'も、かいぞーの/ずめんや/けーさん、うらずけの/し'りょーを/しらな'かった。	かぞくもせーびのなかまも、かいぞーのずめんやけーさん、うらずけのしりょーをしらなかった。	auto
c507-2		改造によっては、いつ行われたのかも分からない。	かいぞーによって'わ、い'つ/おこなわれた'のかも/わから'ない。	かいぞーによってわ、いつおこなわれたのかもわからない。	auto
c508-1		事故のあと、残骸を調べて初めて分かった改造もある。	じこの'あと、ざんがいを/しらべて/はじ'めて/わか'った/かいぞーも/あ'る。	じこのあと、ざんがいをしらべてはじめてわかったかいぞーもある。	auto
c508-2		その1つが、昇降舵の釣り合いを取るおもりだ。	その/ひと'つが、しょーこ'ーだの/つりあいを/と'る/おもりだ。	そのひとつが、しょーこーだのつりあいをとるおもりだ。	auto
c509-1		左のおもりは、約11.8キロ（26ポンド）。	ひだりの/おもりわ、やくじゅーいってんはち'きろ、にじゅーろくぽ'んど。	ひだりのおもりわ、やくじゅーいってんはちきろ、にじゅーろくぽんど。	auto
c509-2		資料にあるふつうの最大は、約6.2キロ（13.75ポンド）。約2倍だ。	し'りょーに/あ'る/ふつーの/さいだいわ、や'く/ろくてんに'きろ、じゅーさんてんななごーぽ'んど。や'く/に'ばいだ。	しりょーにあるふつーのさいだいわ、やくろくてんにきろ、じゅーさんてんななごーぽんど。やくにばいだ。	auto
c509-3	q	そこまで、重くしてあったんだ。	そこま'で、おもくしてあ'ったんだ。	そこまで、おもくしてあったんだ。	auto
c510-1		報告書は、このおもりで、機首の上げ下げがより敏感になったとみる。	ほーこくしょわ、この/おもりで、き'しゅの/あげ'さげがより/びんかんに/な'ったと/み'る。	ほーこくしょわ、このおもりで、きしゅのあげさげがよりびんかんになったとみる。	auto
c510-2		動きを安定させる別のおもりを、ふつうの半分未満にしたことも同じだ。	うごき'を/あんてー/させ'る/べつの/おもりを、ふつーの/はんぶんみ'まんにしたことも/おなじだ。	うごきをあんてーさせるべつのおもりを、ふつーのはんぶんみまんにしたこともおなじだ。	auto
c511-1		水平尾翼と板の表面は、最大約3ミリの厚さに材料を塗って、なめらかにしてあった。	すいへーび'よくと/い'たの/ひょーめ'んわ、さいだい/や'く/さ'んみりの/あつ'さに/ざいりょ'ーを/ぬって、なめ'らかにしてあった。	すいへーびよくといたのひょーめんわ、さいだいやくさんみりのあつさにざいりょーをぬって、なめらかにしてあった。	auto
c511-2		そのぶん板は重く、重心は後ろへ。震えを起こしやすくした、と報告書はみる。	そのぶん/い'たわ/おもく、じゅーしんわ/うしろえ。ふるえを/おこ'しやすくした、と/ほーこくしょわ/み'る。	そのぶんいたわおもく、じゅーしんわうしろえ。ふるえをおこしやすくした、とほーこくしょわみる。	auto
c512-1		板の動かし方も、変えてあった。右の板は、リンクと昇降舵を鉄の棒でつないで固定。	い'たの/うごかしかたも、かえてあ'った。みぎの/い'たわ、り'んくと/しょーこ'ーだを/てつの/ぼーで/つないで/こてー。	いたのうごかしかたも、かえてあった。みぎのいたわ、りんくとしょーこーだをてつのぼーでつないでこてー。	auto
c512-2		動くのは左の板だけで、電気の力で動かしていた。	うご'くのわ/ひだりの/い'ただけで、で'んきの/ちから'で/うごか'していた。	うごくのわひだりのいただけで、でんきのちからでうごかしていた。	auto
c512-3		ふつうのP-51Dは、左右の2枚とも動く。	ふつーの/ぴ'ー/ごじゅ'ーいちでぃーわ、さ'ゆーの/に'まいとも/うご'く。	ふつーのぴーごじゅーいちでぃーわ、さゆーのにまいともうごく。	auto
c513-1		片方が壊れても、もう片方が残る。その備えを、なくした作りだ。	かたほ'ーが/こわ'れても、も'ー/かたほ'ーが/のこ'る。その/そなえ'を、なくした'/つくり'だ。	かたほーがこわれても、もーかたほーがのこる。そのそなえを、なくしたつくりだ。	auto
c513-2		報告書の言葉では、「冗長性を取り除いた」。	ほーこくしょの/ことば'でわ、じょーちょーせーを/とりのぞ'いた。	ほーこくしょのことばでわ、じょーちょーせーをとりのぞいた。	auto
c514-1	q	つまり、左の板だけが頼り？	つ'まり、ひだりの/い'ただけが/た'より？	つまり、ひだりのいただけがたより？	auto
c514-2		そう。しかも予選とレースでは、左の板で、機首を下げる向きに大きく調整していた。	そー。しか'も/よせんと/れ'ーすでわ、ひだりの/い'たで、き'しゅを/さげ'る/む'きに/お'ーきく/ちょーせーしていた'。	そー。しかもよせんとれーすでわ、ひだりのいたで、きしゅをさげるむきにおーきくちょーせーしていた。	auto
c514-3		整備の仲間は、板の角度は0度で飛んでいると思っていた。	せ'ーびの/なかま'わ、い'たの/か'くどわ/ぜろ'どで/とんでいる'と/おも'っていた。	せーびのなかまわ、いたのかくどわぜろどでとんでいるとおもっていた。	auto
c515-1	q	もし、ふつうの作りだったら？	も'し、ふつーの/つくり'だったら？	もし、ふつーのつくりだったら？	auto
c515-2		1枚が壊れても、操縦桿を押さえる力は約半分で済んだ、と報告書は書く。	いち'まいが/こわ'れても、そーじゅ'ーかんを/おさえ'る/ちから'わ/や'く/はんぶ'んで/す'んだ、と/ほーこくしょわ/か'く。	いちまいがこわれても、そーじゅーかんをおさえるちからわやくはんぶんですんだ、とほーこくしょわかく。	auto
c515-3		板が2枚なら、立て直せた可能性もある	い'たが/に'まいなら、たてなお'せた/かのーせーも/あ'る。	いたがにまいなら、たてなおせたかのーせーもある。	auto
c516-1		短い翼には、利点もあった。速く飛べて、強い力にも耐えられる。	みじか'い/つばさに'わ、りてんも/あ'った。はや'く/とべて、つよ'い/ちから'にも/たえられ'る。	みじかいつばさにわ、りてんもあった。はやくとべて、つよいちからにもたえられる。	auto
c516-2		17.3Gでも翼が壊れなかったのは、この強さと、Gが一瞬だったためとみられる。	じゅーななてんさん/じ'ー/で'も/つばさが/こわれ'なかったのわ、この/つよ'さと、じ'ー/が/いっしゅんだ'ったためと/みられ'る。	じゅーななてんさんじーでもつばさがこわれなかったのわ、このつよさと、じーがいっしゅんだったためとみられる。	auto
c517-1		整備の仲間によると、パイロットは、昔のレース機「スティレット」に似せたかった。	せ'ーびの/なかま'によると、ぱ'いろっとわ、むかしの/れーす'き/すてぃ'/れ'っとに/にせた'かった。	せーびのなかまによると、ぱいろっとわ、むかしのれーすきすてぃれっとににせたかった。	auto
c518-1		スティレットも、翼と水平尾翼を縮め、動く板は左だけ。寸法も似ていた。	すてぃ'/れ'っとも、つばさと/すいへーび'よくを/ちじめ、うご'く/い'たわ/ひだりだけ。すんぽーも/にていた'。	すてぃれっとも、つばさとすいへーびよくをちじめ、うごくいたわひだりだけ。すんぽーもにていた。	auto
c518-2		その試験飛行士は1985年、震えまで確かめた厳しい飛行試験を記事にしている。	その/しけんひこー'しわ/せんきゅーひゃくはちじゅーご'ねん、ふるえま'で/たしか'めた/きびし'い/ひこーしけ'んを/き'じにしている。	そのしけんひこーしわせんきゅーひゃくはちじゅーごねん、ふるえまでたしかめたきびしいひこーしけんをきじにしている。	auto
c519-1		事故機の改造の多くには、図面も、影響を確かめる飛行試験も、解析も無かった。	じこ'きの/かいぞーの/お'ーくにわ、ずめんも、えーきょーを/たしかめ'る/ひこーしけ'んも、かいせきも/な'かった。	じこきのかいぞーのおーくにわ、ずめんも、えーきょーをたしかめるひこーしけんも、かいせきもなかった。	auto
c519-2	q	スティレットとは、違うんだ。	すてぃ'/れ'っととわ、ちがう'んだ。	すてぃれっととわ、ちがうんだ。	auto
c520-1		危ないサインは、出ていた。	あぶない/さ'いんわ、で'ていた。	あぶないさいんわ、でていた。	auto
c520-2		予選とレースの写真には、胴体の後ろに斜めのしわが写っている。	よせんと/れ'ーすの/しゃしんに'わ、ど'ーたいの/うしろに/なな'めの/しわが/うつ'っている。	よせんとれーすのしゃしんにわ、どーたいのうしろにななめのしわがうつっている。	auto
c520-3		覆いや取り入れ口の改造で、胴体の後ろが弱くなった表れ、と報告書はみる。	おーいや/とりいれぐちの/かいぞーで、ど'ーたいの/うしろが/よわ'くなった/あらわれ、と/ほーこくしょわ/み'る。	おーいやとりいれぐちのかいぞーで、どーたいのうしろがよわくなったあらわれ、とほーこくしょわみる。	auto
c521-1		事故のレースでは、覆いと前の風よけのあいだにも、すき間。地上の写真には無い。	じ'この/れ'ーすでわ、おーいと/ま'えの/かぜよけの/あいだに'も、すきま。ちじょーの/しゃしんに'わ/な'い。	じこのれーすでわ、おーいとまえのかぜよけのあいだにも、すきま。ちじょーのしゃしんにわない。	auto
c521-2		報告書は、構造の限界を超えて飛んでいるという、パイロットへの強いサインとする。	ほーこくしょわ、こーぞーの/げんかいを/こえて/とんでいる'と/いう、ぱ'いろっとえの/つよ'い/さ'いんとする。	ほーこくしょわ、こーぞーのげんかいをこえてとんでいるという、ぱいろっとえのつよいさいんとする。	auto
c522-1		時速約741キロ（400ノット）に近づくたび、揺れの出方が変わった。	じそく/や'く/ななひゃくよんじゅーいち'きろ、よんひゃくの'っとに/ちかず'くたび、ゆれの/でか'たが/かわった'。	じそくやくななひゃくよんじゅーいちきろ、よんひゃくのっとにちかずくたび、ゆれのでかたがかわった。	auto
c522-2		補助翼の取り付けも、ずれていたとみられる。	ほじょ'よくの/とりつけも、ず'れていたと/みられ'る。	ほじょよくのとりつけも、ずれていたとみられる。	auto
c523-1	q	つまり、サインはいくつも出ていた？	つ'まり、さ'いんわ/い'くつも/で'ていた？	つまり、さいんわいくつもでていた？	auto
c523-2		そう。報告書は、入念に評価し試験していれば、悪い所の多くは見つけて直せたとみる。	そー。ほーこくしょわ、にゅーねんに/ひょ'ーかし/しけ'んしていれば、わる'いところの/お'ーくわ/みつけて/なお'せたと/み'る。	そー。ほーこくしょわ、にゅーねんにひょーかししけんしていれば、わるいところのおーくわみつけてなおせたとみる。	auto
c524-1		では、試験はどうだったのか。書類の上では、していたことになっていた。	で'わ、しけ'んわ/ど'ーだったのか。しょるいのうえ'でわ、していた'ことに/な'っていた。	でわ、しけんわどーだったのか。しょるいのうえでわ、していたことになっていた。	auto
c601-1		実験機には、FAAが「運用の制限」を付ける。守って飛ぶための条件だ。	じっけ'んきにわ、えふえーえ'ーが/うんよーの/せーげ'んを/つけ'る。まも'って/とぶため'の/じょーけ'んだ。	じっけんきにわ、えふえーえーがうんよーのせーげんをつける。まもってとぶためのじょーけんだ。	auto
c601-2		その1つが、機体を置く基地。決められた基地は、フロリダ州オカラの飛行場。	その/ひと'つが、きたいを/おく/き'ち。きめら'れた/き'ちわ、ふろりだ'しゅー/おからの/ひこーじょー。	そのひとつが、きたいをおくきち。きめられたきちわ、ふろりだしゅーおからのひこーじょー。	auto
c602-1		練習の飛行は、その基地から半径約161キロ（100マイル）の中で。	れんしゅーの/ひこーわ、その/き'ちから/は'んけー/やくひゃくろくじゅーいち'きろ、ひゃくま'いるのなかで。	れんしゅーのひこーわ、そのきちからはんけーやくひゃくろくじゅーいちきろ、ひゃくまいるのなかで。	auto
c602-2		航空ショーやレースへ向かう途中だけは、例外だった。	こーく'ーしょーや/れ'ーすえ/むかう/とちゅーだけ'わ、れーがいだ'った。	こーくーしょーやれーすえむかうとちゅーだけわ、れーがいだった。	auto
c603-1	q	守られていたの？	まもられていた'の？	まもられていたの？	auto
c603-2		いいえ。機体は2007年4月から、オカラにいなかった。	いーえ'。きたいわ/にせんなな'ねん/しがつ'から、おからに/いな'かった。	いーえ。きたいわにせんななねんしがつから、おからにいなかった。	auto
c603-3		2009年からは、ネバダにあった。	にせんきゅ'ーねんからわ、ね'ばだに/あ'った。	にせんきゅーねんからわ、ねばだにあった。	auto
c604-1		もう1つ。大きな改造をしたら、基地を受け持つFAAの地方の事務所に届ける。	も'ー/ひと'つ。お'ーきな/かいぞーをした'ら、き'ちを/うけも'つ/えふえーえ'ーの/ちほ'ーの/じむ'しょに/とどけ'る。	もーひとつ。おーきなかいぞーをしたら、きちをうけもつえふえーえーのちほーのじむしょにとどける。	auto
c604-2		書面の返事を受け取るまで、飛んではいけない。	しょめんの/へんじ'を/うけと'るまで、とんで'わいけない。	しょめんのへんじをうけとるまで、とんでわいけない。	auto
c605-1		でも、記録にあるのは、2009年の冷却装置の1件だけ。	で'も、きろくに/あ'るのわ、にせんきゅ'ーねんの/れーきゃくそ'ーちの/い'っけんだけ。	でも、きろくにあるのわ、にせんきゅーねんのれーきゃくそーちのいっけんだけ。	auto
c605-2		届け先は、機体があったネバダの、リノの事務所。	とどけさきわ、きたいが/あ'った/ね'ばだの、り'のの/じむ'しょ。	とどけさきわ、きたいがあったねばだの、りののじむしょ。	auto
c605-3		ほかの大きな改造を、どこかの事務所に届けた記録は無い。	ほかの/お'ーきな/かいぞーを、ど'こかの/じむ'しょに/とど'けた/きろくわ/な'い。	ほかのおーきなかいぞーを、どこかのじむしょにとどけたきろくわない。	auto
